exp_ic	age	freq.avgsnr	freq.integrate	freq.maxsnr	freq.maxsnr.freq	freq.range.high	freq.range.low	freq.rangesz	length	mass.perc	mass.region	mass.total	region.centroid.0	region.centroid.1	region.eccentricity	region.extent	region.majaxis	region.majmin.ratio	region.minaxis	region.orient	neural	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	spatial.avg	spatial.max	spatial.min	spatial.n.domains	spatial.std	temporal.autocorr	temporal.max	temporal.min	temporal.n.freq	temporal.std	threshold.area	threshold.perc	anml	artifact	hemodynamic	movement
190508_07-08-0253	21	1.1435145786	0.1656919268	1.2207345094	3.5355339059	2.7262693317	1.0511205191	1.6751488126	12	0.0658790511	54.65625	829.6453736041	905.0768491835	1317.7216618636	0.5944013727	0.7018963338	115.8626481483	1.2435204505	93.173094258	-0.3570246344	1	704.6124351568	821.132052438	905.2933512819	1317.9568348919	2.52079514040095E-09	0.0115442505	-0.0042492952	1	0.000751645	0.9209728752	16.435060608	-11.6312781063	2	2.8405719422	8328	1	7	0		
190508_07-08-0254	21	1.1176619334	0.0439261251	1.1869371335	3.2420988866	2.9730177875	1.4865088938	1.4865088938	9	0.0542467836	44	811.1079975915	553.1265776477	1026.1452350467	0.5261120752	0.6998207885	91.7294219438	1.175896139	78.0080985891	-1.4591525248	1	660.0521114573	784.6496969461	553.3591406383	1003.0201178719	7.15159594807398E-09	0.0158681104	-0.0041327655	2	0.0007516451	0.9608343622	10.7565862395	-7.9832163448	2	2.8385587329	5467	0.912687813	7	0		
190508_07-08-0255	21	1.1028323207	0.096321385	1.1576536881	3.8555270635	2.7262693317	1.25	1.4762693317	10	0.0349744985	30.640625	876.0847555893	1099.7949304364	595.8734514961	0.6939795591	0.7361111111	96.9287167442	1.3888991081	69.7881625678	-0.1868091178	1	725.0630356771	770.7933495533	1100.3342762773	759.5600158533	-7.6505991359273E-09	0.0101780176	-0.004754108	3	0.0007516449	0.9150080053	11.978740754	-10.2880961793	4	2.8321633053	5247	0.5987675454	7	0		
190508_07-08-0256	21	1.1359867809	0.242724055	1.2283543262	3.2420988866	2.292510108	0.573127527	1.719382581	17	0.0624363782	51.1875	819.8345497982	73.7476998275	1169.7622196665	0.5527076573	0.7471535983	103.3497136202	1.1999396964	86.1290895968	0.9147786429	1	615.9778479654	805.571069497	73.5285335216	1169.2609151735	-1.01148145264434E-08	0.0132985724	-0.0040937384	1	0.0007516448	0.9379718968	19.8191329248	-7.5072719343	1	2.8166851324	6956	1	7	0		
190508_07-08-0257	21									0.0082167652	7.5078125	913.7187601232	586.010989011	1364.5765004227	0.9838313402	0.1719476744	124.3858155399	5.5835526354	22.2771815118	0.8403742483	0	664.426107257	778.476245181	560.7530238665	864.4730100278	1E-09	0.0123597744	-0.0069493777	13	0.0007516444	0.9831153415	6.7707652687	-8.2025774462	0	2.8120090952	1183	0.3272475795	7	1	1	
190508_07-08-0258	21	1.1400597803	0.1860525948	1.2284763615	2.292510108	2.5	0.8105247217	1.6894752783	14	0.0560689878	46.34375	826.5487186007	213.0401984263	494.0788573384	0.7551940021	0.738317757	106.7782537503	1.5255498724	69.9932894263	-0.1119013624	1	635.3350038941	747.0675556778	213.1724248639	494.3309327087	9.13164187895543E-09	0.0136680731	-0.0042219358	1	0.0007516448	0.9410144203	15.6859540938	-7.9070750242	3	2.8117219227	5846	1	7	0		
190508_07-08-0259	21									0.011271866	10.6015625	940.5330460102	1267.5116525424	723.9375	0.7651875785	0.676702509	44.4315305477	1.5532595592	28.6053482081	-1.2483035518	0	706.8118273493	776.8679677386	1266.0408562095	725.0229551515	-8.47742703976831E-10	0.0223420576	-0.0063003483	1	0.0007516447	0.9884170163	13.798685063	-4.7516233634	0	2.8099544348	944	1	7	1		1
190508_07-08-0260	21	1.1075590255	0.1503864963	1.1804216207	2.7262693317	2.5	0.7432544469	1.7567455531	15	0.0584830839	48.46875	828.7652899266	188.0122613689	1189.996895856	0.6327769356	0.7273650937	103.3483731204	1.2914321572	80.0261729168	-0.331356207	1	628.3777217922	805.0085473509	188.6183559675	1189.7160103807	-7.467634860538E-09	0.0127328637	-0.0043253383	1	0.0007516452	0.9402291684	15.6506231139	-7.3430773109	3	2.8087313208	6443	1	7	0		
190508_07-08-0261	21	1.0691692786	0.0569059113	1.0961008398	4.2044820763	1.9277635318	0.9638817659	0.9638817659	9	0.0717241909	56.09375	782.0757444138	49.0349210425	1289.9180896136	0.923914899	0.3308836024	175.631512257	2.6137091622	67.1962721785	1.1040152036	1	598.2445510973	832.4713493308	46.0591606235	1289.7201884557	-5.5983096431657E-10	0.0123304887	-0.0046801461	1	0.0007516438	0.9268991292	13.6456817105	-19.0117344034	2	2.789365315	7789	1	7	0		
190508_07-08-0262	21	1.2774692409	0.3302866296	1.4905018869	3.2420988866	2.7262693317	1.0511205191	1.6751488126	12	0.0911466352	69.3125	760.4504529243	145.3061364081	944.1185264804	0.9004054485	0.5754610886	177.355043179	2.2985771037	77.1586225628	0.3782414824	1	604.5252490919	791.2169444485	142.9769159466	943.622815367	3.29289440594285E-09	0.0126720648	-0.0043268138	1	0.000751644	0.9220823531	16.1334994481	-7.638415651	3	2.7886702135	10234	1	7	0		
190508_07-08-0263	21	1.1726067134	0.2242462142	1.2846469301	2.5	2.292510108	0.7432544469	1.5492556611	14	0.0579813235	45.75	789.0471835197	167.6597526166	527.0211227402	0.8146386778	0.7155501089	107.6875687205	1.7242306426	62.4554314587	-0.2123330509	1	633.2535851339	746.8811506015	168.0886458712	527.7265236168	-5.08253730923643E-09	0.0167110191	-0.0054309583	1	0.0007516443	0.9454250792	15.8624523367	-8.4272688017	3	2.7835871242	5255	1	7	0		
190508_07-08-0264	21	1.1314063359	0.135562428	1.2094297634	3.5355339059	2.7262693317	1.146255054	1.5800142777	11	0.0778782229	59.90625	769.2298019992	795.4587597833	1252.731487056	0.5968942242	0.6741618638	116.8311603714	1.2463855763	93.7359695023	0.0944509333	1	691.1608063164	818.6314214167	795.753106598	1249.1634198126	4.90578459346812E-09	0.0139138329	-0.0040930503	2	0.0007516442	0.9203333902	11.6342751194	-11.0033301483	2	2.7816658631	8305	0.9992780652	7	0		
190508_07-08-0265	21	1.1204984846	0.365800227	1.2751790542	2.5	2.292510108	0.2627801298	2.0297299782	26	0.0522628971	43.65625	835.3201302239	111.6093150685	461.5282191781	0.570181002	0.7323434992	92.3552857868	1.2172571581	75.8716308828	-0.5542097743	1	630.8640477623	744.8575479075	111.1645522253	461.7751714819	1.91614588016982E-09	0.0147551189	-0.0042339442	1	0.000751645	0.9498703147	15.0438777636	-8.1095366764	1	2.7795966625	5475	1	7	0		
190508_07-08-0266	21	1.0632608145	0.0402382562	1.096076331	3.8555270635	2.5	1.4865088938	1.0134911062	7	0.0688926826	58.6875	851.8684105474	877.4932937344	577.3117455451	0.7946020366	0.6091269841	149.0897628604	1.6470919906	90.5169618401	-0.535954352	1	706.6674249517	746.0691847858	877.4138114451	577.159684535	-8.80887162337465E-10	0.0090227356	-0.0042121824	4	0.000751644	0.914287764	13.8339432132	-10.5260798098	2	2.7711202325	10438	0.9988516746	7	0		
190508_07-08-0267	21	1.0825994283	0.039272697	1.1264645253	3.8555270635	2.7262693317	1.3631346658	1.3631346658	9	0.0615995673	50.875	825.8986580808	567.5916701259	284.3920022139	0.6673675735	0.7090855573	111.71647825	1.3427712452	83.1984440038	0.3614471429	1	662.4188016245	721.3894676934	566.6800381729	283.6136950117	-4.90583131458107E-09	0.0122233702	-0.0046307988	1	0.0007516452	0.9508481648	8.5639380035	-10.7386459149	1	2.7616824971	7227	1	7	0		
190508_07-08-0268	21	1.1369460034	0.0542470446	1.2142400371	3.8555270635	2.9730177875	1.4865088938	1.4865088938	9	0.0002066533	0.1901855469	920.3119798948	549.1764705882	681.1176470588	0.6826018302	0.68	5.4399833127	1.3683812428	3.9754880749	-1.0459672351	0	641.5164042609	766.2911697102	548.0627801061	682.7758839159	-2.87340952038263E-09	0.0116954117	-0.0116534201	1	0.0007516444	0.956760872	10.0038190285	-8.3542771753	2	2.7339762756	17	1	7	1	1	
190508_07-08-0269	21	1.9071553185	0.1322189132	2.8046183956	3.8555270635	0.0063322244	0.0048828125	0.0014494119	4	0.0771917755	55.875	723.8465453098	868.3498686447	147.4099830011	0.9195623817	0.4788013319	151.324755944	2.5448915713	59.4621624165	0.3699489689	1	693.6853047373	712.3201408915	870.2443937801	147.2357947984	6.20555587186722E-10	0.016131992	-0.0045245602	6	0.0007516446	0.9649707213	8.3956748897	-16.3800453897	2	2.7312738179	6471	0.9975335286	7	0		
190508_07-08-0270	21	1.0618774651	0.0581920888	1.1314021583	3.5355339059	1.9277635318	0.573127527	1.3546360048	15	0.061645662	52.96875	859.245375578	435.8310795583	177.0555555556	0.8909471646	0.5936580145	159.1853774677	2.2021242626	72.2871911328	-0.4741638598	1	644.7159712207	729.8704508473	436.977640953	179.9662939562	6.94860253778377E-09	0.0101624166	-0.0042417278	4	0.0007516448	0.9633135959	12.2248767028	-10.4876101578	1	2.7312397105	8874	0.9994368735	7	0		
190508_07-08-0271	21	1.111561895	0.0501199072	1.1607121115	3.8555270635	2.9730177875	1.4865088938	1.4865088938	9	0.0573480116	48.5	845.7137157019	496.6979884266	1162.6251033343	0.8277366124	0.7444102564	131.090965837	1.7821600439	73.5573476032	0.0528878317	1	652.0896612467	816.3633755351	496.1547912375	1164.6590470542	1.23791009683919E-09	0.0123078158	-0.0040452853	2	0.0007516451	0.9503875678	10.2248032379	-6.9579795257	1	2.7047160542	7258	0.9997245179	7	0		
190508_07-08-0272	21	1.0953490955	0.1245906136	1.1272676216	3.5355339059	2.5	0.9638817659	1.5361182341	12	0.0590912168	49.125	831.3418245592	1120.8266366254	654.4905495056	0.745893323	0.5917777778	128.7906010243	1.5013540143	85.7829664418	-1.2957149059	1	732.6937648906	765.3611776922	1123.1612661472	702.0039498694	4.83924346583586E-09	0.0117945349	-0.0043821842	4	0.0007516443	0.9175619833	13.6262614498	-9.9146504377	3	2.697959951	7989	0.8102434077	7	0		
190508_07-08-0273	21	1.2803527386	0.716972242	1.5452711093	2.292510108	2.1022410381	0.3407836665	1.7614573717	22	0.1109720917	76.25	687.1096945142	183.970691568	190.8251664201	0.5595438871	0.6978064516	130.838293536	1.2065626541	108.4388722734	-0.7183607598	1	599.3220538547	690.2581601617	182.4198206123	190.3407071851	-2.25352929360683E-09	0.0140607275	-0.0038692534	1	0.0007516432	0.9487730337	13.467487418	-7.4363640595	2	2.6811415467	10816	1	7	0		
190508_07-08-0274	21	1.1629835409	0.1146731236	1.2694039349	2.7262693317	1.9277635318	0.7432544469	1.1845090849	12	0.0579836523	47.65625	821.8911385727	228.5466332695	1442.7783998821	0.6481299002	0.6936126725	107.2508869135	1.3131462528	81.6747461927	0.5964618214	1	622.7069235892	839.0366375387	229.9965432045	1442.8574641432	-2.80885178493128E-09	0.0112325899	-0.0058767927	4	0.0007516444	0.9647332389	10.5536512487	-11.1716214195	1	2.6619948055	6787	0.998381877	7	0		
190508_07-08-0275	21	1.1604422137	0.1752299392	1.2525439414	3.5355339059	2.5	0.9638817659	1.5361182341	12	0.0725293192	57.5625	793.6445650127	752.285678297	1329.8630809926	0.607001972	0.7206790123	113.0411323881	1.2583359651	89.8338246089	0.9642058306	1	683.4913138142	828.2744507584	752.0983659492	1329.588947608	-6.86053842500939E-09	0.012761556	-0.0041257411	1	0.0007516449	0.9308574782	11.5520185365	-10.1465517881	1	2.6600890361	7939	1	7	0		
190508_07-08-0276	21	1.2341614562	0.3375103253	1.3320961277	1.9277635318	1.9277635318	0.4819408829	1.4458226488	17	0.0778921137	59.9375	769.4938180361	256.0532096656	137.0740785941	0.5923487634	0.7282260931	114.0723129816	1.2411850059	91.9059708568	-0.2418151538	1	626.5095603759	703.7514824027	257.2103637476	137.0368678864	-4.33665654514158E-09	0.0128912637	-0.0043973956	2	0.0007516446	0.9624743034	13.6098702818	-8.0616772021	2	2.6491797187	8194	0.9998779744	7	0		
190508_07-08-0277	21	1.1519379344	0.3433642793	1.2821709064	3.2420988866	2.5	0.4819408829	2.0180591171	20	0.090630153	63.65625	702.3738555996	72.7361510566	992.387645367	0.4077529869	0.6945457704	108.4135090714	1.0951795651	98.991537578	-0.1486346209	1	604.0917416704	794.6645995572	71.8548711513	992.7210949511	6.97908162338773E-10	0.0168445245	-0.0038316678	2	0.0007516436	0.9350258249	16.4900391075	-7.2716666461	2	2.6468129	7997	0.9863098175	7	0		
190508_07-08-0278	21	1.1003958946	0.027061258	1.1348886353	3.8555270635	2.9730177875	1.6210494433	1.3519683442	8	0.0506969088	34.9375	689.1445820319	573.1927665921	907.0730797912	0.9780717602	0.3280733945	129.4369808204	4.8015017644	26.9576035108	-0.9969941043	0	679.4854494085	778.8201182469	574.0812004459	907.7837061601	3.28109287751207E-09	0.0321547829	-0.0067736488	2	0.000751644	0.9653915463	12.968946821	-6.7809731704	4	2.646037389	2682	0.9900332226	7	1	1	
190508_07-08-0279	21	1.0876167126	0.0390351789	1.1317961287	3.5355339059	2.9730177875	1.4865088938	1.4865088938	9	0.0615675467	50.3125	817.1918920043	408.0371943183	298.0822960902	0.6185288553	0.679908403	108.0376681285	1.2726498495	84.8919034309	-0.5211650979	1	646.0662030014	726.5914948667	407.645833669	298.7355915129	3.32833697985158E-09	0.0147210088	-0.0042253712	2	0.0007516445	0.9500978747	12.1277574191	-7.7926963039	1	2.644256147	6829	0.9997072171	7	0		
190508_07-08-0280	21	1.0879292397	0.0417818499	1.1333780087	3.5355339059	2.9730177875	1.4865088938	1.4865088938	9	0.0545810831	43.65625	799.8421350302	467.8947606143	519.6263173743	0.7976851725	0.6684782609	118.7931079304	1.6581710377	71.641046205	-0.9615803738	1	635.9378092128	737.0734113508	445.8291147751	450.9302958603	-3.07201732430361E-09	0.0123898284	-0.0040498862	4	0.0007516447	0.9490872669	11.771000312	-7.0177351402	1	2.6439038104	6642	0.6240721601	7	0		
190508_07-08-0281	21	1.0291817498	0.0103680339	1.0430334016	4.585020216	2.7262693317	1.9277635318	0.7985057999	5	0.0762798965	64.25	842.2926998809	836.6437218344	744.5323849077	0.8166553243	0.7524601064	160.0002911984	1.7327247573	92.3402811227	-0.1060557197	1	691.0771938612	762.8456868466	835.9161322567	745.1639143642	3.24651951541189E-09	0.0094757104	-0.0045111187	4	0.0007516442	0.9206650669	11.0327871304	-8.1225729954	2	2.6333996128	11317	0.9995583819	7	0		
