exp_ic	age	freq.avgsnr	freq.integrate	freq.maxsnr	freq.maxsnr.freq	freq.range.high	freq.range.low	freq.rangesz	length	mass.perc	mass.region	mass.total	region.centroid.0	region.centroid.1	region.eccentricity	region.extent	region.majaxis	region.majmin.ratio	region.minaxis	region.orient	neural	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	spatial.avg	spatial.max	spatial.min	spatial.n.domains	spatial.std	temporal.autocorr	temporal.max	temporal.min	temporal.n.freq	temporal.std	threshold.area	threshold.perc	anml	artifact	hemodynamic	movement
190408_07-08-0000	22									0.0711722362	36.75	516.3530327056	1303.9980754427	795.8086989992	0.8464476256	0.6535849057	80.0617604853	1.8780330686	42.6306447017	-0.4452048064	0	755.8419628551	784.361879309	1295.0313148083	781.0843738955	-2.14660032740513E-10	0.0252293436	-0.0083451094	2	0.0007516414	0.9937523463	85.8165418045	-15.6689956636	0	17.4375131099	2598	0.7865576748	1	1	1	
190408_07-08-0001	22	1.0619460375	0.028320568	1.1039586446	4.585020216	0.0089551176	0.0075303263	0.0014247913	3	0.0570832866	34.9375	612.0442966098	1360.0019011407	780.508365019	0.9745003221	0.5525210084	128.4385395623	4.4566040247	28.8198230874	-0.0962951639	0	746.6941210293	782.8486072242	1361.5507763555	774.7792420101	3.27349645602287E-09	0.0232414275	-0.0071731234	3	0.0007516426	0.9897897038	83.2669421583	-14.4938025609	2	15.9312616115	2630	0.7967282642	1	1	1	
190408_07-08-0002	22	1.0809817158	0.0027862916	1.124209277	3.8555270635	3.2420988866	1.767766953	1.4743319337	8	0.1136537804	58.34375	513.346320802	724.9780271155	805.4463144772	0.9865000773	0.7919289152	229.1936283802	6.1064677175	37.53293049	-0.0329846788	0	679.7679947687	784.5732838433	717.3943652086	798.0736087849	1.50537540110247E-09	0.018365035	-0.0033482986	4	0.0007516417	0.9947525963	34.5198822013	-19.0170418543	1	11.9605678886	6417	0.7253306205	1	1	1	
190408_07-08-0003	22	1.0378296023	0.0065574744	1.0378296023	5	0.0048828125	0.0048828125	0	1	0.0469097212	26.546875	565.9141502677	1267.2608695652	799.9894409938	0.7398254581	0.6708333333	55.9787641943	1.4863283448	37.6624481323	-0.7195382221	0	723.794334078	786.9574300506	1243.8912320148	788.1057854788	-1.12817342300711E-09	0.031172928	-0.0069473226	5	0.0007516424	0.992558875	71.8094041407	-9.6972398341	1	11.4451922121	1610	0.6138009912	1	1	1	
190408_07-08-0004	22	1.0719665688	0.0310525864	1.1072430801	2.7262693317	2.9730177875	1.3631346658	1.6098831217	10	0.0726672465	33.6875	463.5857506788	132.3952835486	758.8986524424	0.8797084453	0.5621843434	99.5432120244	2.1029898891	47.334137239	0.5158939847	0	569.2244229941	785.7035646277	132.6315374097	787.4730365608	-3E-09	0.0263498156	-0.0033855734	4	0.0007516413	0.9590347134	78.7877712998	-12.1536510549	3	10.7428594727	3562	0.4969308036	1	1	1	
190408_07-08-0005	22	1.3146832948	0.1783826065	1.4855477682	4.2044820763	0.009765625	0.0069053397	0.0028602853	5	0.0703390919	47.78125	679.2986475546	1324.986958987	492.8990738991	0.8140999701	0.6998677249	108.1305246208	1.7219861819	62.7940721914	-0.2861985876	1	747.338158401	762.233902658	1327.8654685773	509.6496999375	-3.18822259779949E-09	0.021840779	-0.003701579	5	0.0007516433	0.985771513	45.7870354432	-14.3326806762	2	10.554700228	5291	0.9149230503	1	1		
190408_07-08-0006	22	1.100301484	0.0131061089	1.1584867975	3.5355339059	2.9730177875	1.3631346658	1.6098831217	10	0.0819700335	47.1875	575.6676918832	520.427252659	802.6205097331	0.990917546	0.770884901	226.7416097362	7.436554417	30.4901432871	0.0234986268	0	635.7875924495	785.7867758358	520.4425087607	796.872850459	-6.44232317889785E-11	0.0150408647	-0.0138456721	2	0.0007516415	0.9871703718	34.1709152819	-20.5189340539	2	10.5228970445	4983	0.7322556943	1	1	1	
190408_07-08-0007	22	1.060370001	0.0082840441	1.1005569291	3.8555270635	2.7262693317	1.4865088938	1.2397604379	8	0.110930264	65.125	587.0805464402	66.9418879466	638.5648547199	0.9687057197	0.3398053666	201.4368405923	4.0288130433	49.9990539214	1.0964470743	0	572.0447466381	755.9960607886	65.4231194011	638.9422995531	-1.4364903696257E-10	0.0176595381	-0.0056115296	2	0.0007516426	0.9829360149	50.7695478537	-14.3099958604	3	9.0689878828	7193	0.9975038136	1	0	1	
190408_07-08-0008	22	1.0120254075	0.0007384272	1.0152427161	4.585020216	0.9638817659	0.8838834765	0.0799982894	2	0.0252164552	21.296875	844.5626000339	1437.9067974772	790.3325157673	0.673234996	0.6648031679	73.0317439541	1.3523956378	54.0017594802	0.0146107897	1	729.6842417899	782.8782949201	1434.0681052073	771.2106552341	-1.08952143002341E-09	0.0129121281	-0.0058433779	3	0.0007516447	0.9855303076	37.2075120657	-12.1927217516	2	8.0036418423	2854	0.6173480424	1	0		
190408_07-08-0009	22	1.2172653952	0.0461737913	1.3495822978	3.5355339059	2.9730177875	1.3631346658	1.6098831217	10	0.0475322421	35.59375	748.8338115719	297.9228611501	800.5292192613	0.9926617962	0.6489684466	224.4054481336	8.2696726652	27.1359529232	-0.0298543552	0	617.3973690491	789.9623007836	284.566299952	796.5538436055	5.61668463735817E-10	0.0144101849	-0.0058665787	4	0.0007516427	0.9797337214	31.9763350899	-15.0496999551	2	7.7557407021	4278	0.7673542601	1	1	1	
190408_07-08-0010	22	1.030963599	0.0113631729	1.0484969074	4.585020216	0.8838834765	0.6815673329	0.2023161436	4	0.0637947772	48.5	760.2503237931	1525.5269220466	658.7508706134	0.4929829593	0.6844517785	105.7144035265	1.149373809	91.9756503017	1.0182726237	1	807.7095890972	771.3303752297	1527.2361232659	691.6193911783	-8.25892915572735E-10	0.0101404328	-0.0045488699	6	0.0007516443	0.9610207132	34.9541104134	-28.790271582	2	7.718942647	7466	0.7971385864	1	0		
190408_07-08-0011	22	1.0230121818	0.0066165842	1.0343028318	4.585020216	0.9638817659	0.8105247217	0.1533570442	3	0.0691701398	56.40625	815.4711001537	1401.6879728419	563.1790494665	0.8248776954	0.6542293293	155.1642723556	1.7689370839	87.7161057742	0.3457920627	1	785.2479044527	759.5615522371	1401.7733307041	562.7025754744	-1.05589617867235E-09	0.0084804111	-0.00433713	7	0.0007516446	0.9563553231	41.6703641434	-24.2584907367	2	7.5317711473	10310	0.9992246559	1	0		
190408_07-08-0012	22	1.1148430046	0.0039246207	1.1765715709	3.2420988866	1.3631346658	0.625	0.7381346658	10	0.0239108398	19.0625	797.2325580837	1059.3439536568	835.3642288197	0.5496221371	0.5526210484	49.3059420558	1.1970121983	41.1908434386	0.4040347746	0	703.4039641094	781.130218699	1053.914676553	834.0293267635	-1.7331751101136E-09	0.0274510797	-0.0070619402	3	0.0007516434	0.9983451665	16.0175781236	-13.2405018858	1	7.2639770905	1381	0.8284343131	1	1		1
190408_07-08-0013	22	1.0561847479	0.0144141678	1.0787988345	4.2044820763	2.7262693317	1.4865088938	1.2397604379	8	0.0790677116	49.90625	631.1836907046	86.1801214302	713.5399145491	0.9802052529	0.2673761424	177.0572215724	5.0509133404	35.054496017	1.0336290869	0	600.1342781007	778.8753243996	86.295212432	717.8306762292	1.75024461846982E-09	0.02257533	-0.0052966243	1	0.0007516429	0.9658681627	51.8381738965	-5.5675857658	3	7.1042808766	4447	1	1	1	1	
190408_07-08-0014	22	2.6303476922	0.9145768155	4.5674724087	1.6210494433	0.0150606526	0.0048828125	0.0101778401	14	0.0823452857	66.5	807.5750715411	1339.8066812262	1007.6144139772	0.4252854825	0.6888616482	133.8754912954	1.10490003	121.1652526571	0.2080761277	1	771.3888882377	808.2998240938	1340.478564843	1007.0140902782	4.2151904037851E-09	0.0083986432	-0.0054263915	8	0.0007516442	0.95972416	38.2150776495	-22.22023663	1	7.0582583592	12363	0.9991110393	1	0		
190408_07-08-0015	22	1.1218549059	0.0660597639	1.2073184928	3.8555270635	1.146255054	0.625	0.521255054	8	0.0790048507	61.59375	779.6198521338	1374.8778237353	695.8104783116	0.8223375598	0.6357200647	147.1513097634	1.7574694135	83.7290871947	-0.4670034938	1	752.330800791	778.0826508197	1373.5985908542	699.8048338901	-3E-09	0.0122419841	-0.0040963599	3	0.000751644	0.9709375568	34.4699198315	-17.6371327675	2	6.9152676333	9429	0.9604767241	1	0		
190408_07-08-0016	22	1.0130112502	0.0010531672	1.0234356472	4.2044820763	1.767766953	1.25	0.517766953	5	0.0228949925	17.96875	784.8331892553	1053.9311131387	773.3416970803	0.95855251	0.6202603282	103.5370987346	3.5098072977	29.4993684706	-0.0450594038	1	719.3488784961	782.9938518426	1063.2676749178	789.3321225116	3.89987336093263E-10	0.0131641298	-0.0062631357	7	0.0007516436	0.9876530237	26.9441460117	-10.6499762467	3	6.6389027683	2192	0.5368601518	1	1		
190408_07-08-0017	22	1.0024545332	0.0003036581	1.0035183489	5	0.8838834765	0.8105247217	0.0733587548	2	0.0710202045	52.34375	737.0261798884	1504.0359462971	719.8850873394	0.8166556399	0.7821815718	124.552919085	1.732726098	71.8826358251	-0.1919590509	1	761.8413115416	779.551065982	1505.0313448704	738.9518432702	-6.44472828705966E-09	0.0129930911	-0.0052006779	2	0.0007516448	0.9724965611	29.5497667561	-17.9345690457	2	6.6192584163	6927	0.6864532752	1	0		
190408_07-08-0018	22	1.1304846419	0.0785547363	1.2095999505	3.5355339059	2.7262693317	1.3631346658	1.3631346658	9	0.0927807031	69.3125	747.0572836079	1066.4748690242	381.3648493779	0.7283458057	0.596484375	154.6592135726	1.4594071598	105.9739994635	1.1438829205	1	752.7967192698	738.2553557569	1066.8965414766	381.2549527036	-4.3107130096451E-09	0.0083769076	-0.0054146568	6	0.0007516429	0.9416515079	26.1367763959	-22.2850935409	5	6.5011366216	12216	0.9993455497	1	0		
190408_07-08-0019	22	1.1162157312	0.0379952878	1.1737739067	3.8555270635	2.7262693317	1.3631346658	1.3631346658	9	0.169813997	99.6875	587.0393593573	631.5051506567	567.469804275	0.728078072	0.7197405005	170.3366387526	1.4588015125	116.7647807429	-1.1808881942	1	645.6545968126	741.8331589096	633.1226208783	563.3073849256	-1.81572518709671E-10	0.0126804567	-0.0027219565	1	0.0007516428	0.9661036457	26.5834859657	-19.3722195438	3	6.4391065596	15532	1	1	0		
190408_07-08-0020	22	1.1303308337	0.0762076587	1.1962942698	2.9730177875	2.7262693317	1.146255054	1.5800142777	11	0.2181404272	114.4375	524.6047303321	630.3486079799	1022.9553295234	0.6210399363	0.7670929858	176.3010341228	1.2758699842	138.1810343558	1.1354827053	1	645.2778563516	843.8271167837	629.5765303023	1026.9808395226	-3.93840983283949E-09	0.0120190631	-0.0023079116	1	0.0007516422	0.957540247	30.8609255906	-18.9877042894	4	6.3740154657	19073	1	1	0		
190408_07-08-0021	22	1.0177140686	0.0029492539	1.0280530641	4.585020216	0.9638817659	0.8105247217	0.1533570442	3	0.0047575959	4.390625	922.8663188387	1394.0922865014	475.2355371901	0.757563246	0.5902439024	39.214348246	1.5319524612	25.5976273664	0.3847557051	0	738.1039071853	781.1275301406	1394.9325079174	492.9587728541	-1.62814730431159E-09	0.0081346839	-0.008753705	5	0.0007516451	0.9748348565	30.6888794497	-21.1075766052	2	6.2863034677	726	0.9904502046	1	0		1
190408_07-08-0022	22	1.0314563478	0.0124638051	1.0503420793	4.585020216	0.8838834765	0.6815673329	0.2023161436	4	0.0446553627	36.25	811.772602839	1488.4991377659	905.3784249856	0.6627480836	0.733005618	95.5094053056	1.3353944254	71.521494692	-0.9796961751	1	786.5780022484	787.3723377232	1488.6615665935	903.2101592791	-1.94350934366709E-09	0.0104153535	-0.0051347214	1	0.0007516445	0.9569333914	32.7692317486	-23.3894497976	2	6.2191917656	5219	1	1	0		
190408_07-08-0023	22	1.1374711889	0.0788447749	1.2436295692	3.5355339059	2.7262693317	1.25	1.4762693317	10	0.1032551016	79.125	766.3059626547	1010.1925457201	1279.6320144635	0.8401386896	0.6144151072	185.7098407877	1.8437542624	100.7237485902	-0.5278572589	1	726.4547127601	854.9802001397	1007.5839191312	1281.133392582	2.17117428810869E-09	0.0094505718	-0.0041220666	3	0.0007516435	0.9512611015	23.3107591073	-21.2977186178	2	5.8683591036	14381	0.9995829568	1	0		
190408_07-08-0024	22	1.1032196949	0.0667655692	1.1500350828	3.5355339059	1.3631346658	0.625	0.7381346658	10	0.0738890037	55.125	746.0514721807	1157.2526985351	871.7091364688	0.7190333578	0.6404938272	142.5791099771	1.4388995184	99.0889969439	1.0125802572	1	751.3305581523	785.6693800606	1156.1032184156	797.3618110858	-6.60170564761935E-09	0.0085862716	-0.0035967654	7	0.0007516434	0.9697871848	24.7595457149	-14.6904910115	2	5.5442110805	10376	0.5634231103	1	0		
190408_07-08-0025	22	1.0242706392	0.0072201118	1.0349367493	4.585020216	0.8838834765	0.7432544469	0.1406290296	3	0.0975033947	73.4375	753.1789046901	1511.0931295027	827.5705499912	0.6704552728	0.6596348884	140.6148101895	1.3477998091	104.3291512845	0.4849074418	1	773.816406461	788.7944621049	1511.9795336704	826.4257224355	-2.08390670846148E-09	0.0115470412	-0.0038093412	3	0.0007516447	0.9566506252	30.4247488191	-22.1129737713	2	5.5362811454	11382	0.9998243148	1	0		
190408_07-08-0026	22	1.0427922587	0.008706383	1.0594834144	4.2044820763	2.7262693317	1.767766953	0.9585023787	6	0.0703824078	57.65625	819.1855292939	612.6862421303	646.652079678	0.7855388665	0.6962489221	142.1552890947	1.6159988503	87.9674444517	-0.0520038296	1	642.0031529583	767.4035507536	613.0433610821	647.4505114236	5.14235694183573E-09	0.0103895027	-0.0041674334	1	0.0007516444	0.9641187725	21.4392877881	-18.1769593795	2	5.5290307887	9689	1	1	0		
190408_07-08-0027	22	1.125600921	0.0812398275	1.2087487959	3.5355339059	2.7262693317	1.3631346658	1.3631346658	9	0.0999197549	78.4375	785.0049283452	1039.9636097968	1146.094141386	0.7580323284	0.7040266484	168.3431422324	1.5332320847	109.796255838	-0.202285844	1	724.5290005182	837.1170206768	1038.3590013066	1145.5137059397	2.24701211151613E-09	0.0094036944	-0.0040143592	5	0.0007516439	0.9354572597	27.3809862413	-14.8565996954	3	5.5273385661	14372	0.9978476706	1	0		
190408_07-08-0028	22	1.1889935662	0.1614296895	1.2906465323	3.5355339059	1.146255054	0.573127527	0.573127527	9	0.0580999959	43.5625	749.7849070037	1428.9148661722	634.0224121251	0.7151016818	0.6960718294	107.2898947005	1.4305733187	74.9978301007	-0.183077908	1	774.3298914441	779.2101446358	1429.9430531957	729.2223936166	8.88360108308736E-10	0.0121693388	-0.0039012756	2	0.0007516447	0.9606154938	34.3555932905	-20.8418486225	2	5.5166107489	6202	0.5863666446	1	0		
190408_07-08-0029	22	1.1195004286	0.0804817459	1.1952619234	3.8555270635	2.7262693317	1.3631346658	1.3631346658	9	0.0667863383	54.78125	820.2463461493	951.3868357752	407.6732998032	0.6637633876	0.6373075047	129.0318321172	1.3370009558	96.5084067869	-0.402489159	1	708.7775425544	742.7448993801	951.6628744674	407.5458310447	-3.41540185654962E-09	0.0097824297	-0.0046155391	5	0.0007516439	0.9321558976	22.710940994	-14.267513528	4	5.4342810105	9146	0.99890782	1	0		
190408_07-08-0030	22	1.0659335608	0.0075268826	1.1004831334	3.8555270635	2.9730177875	1.6210494433	1.3519683442	8	0.0565579545	39.53125	698.9511968558	578.5593019817	889.6542443064	0.973827762	0.3400040225	138.7831185748	4.3997190273	31.5436321532	-0.9344405714	0	660.7160287505	790.3108394484	580.0994565539	889.5652826891	-4.35635429348595E-10	0.0235104031	-0.0084713775	2	0.0007516427	0.9849712528	21.5011763375	-11.0340601475	1	5.3914784806	3381	0.9944117647	1	1	1	
190408_07-08-0031	22	1.0188460941	0.0059753987	1.0236921117	3.8555270635	2.5	1.6210494433	0.8789505567	6	0.0813701447	65.125	800.3549733388	633.7268244576	929.1233638157	0.8280799086	0.7105363741	163.4106937092	1.7837709854	91.6096825452	0.0442042132	1	641.844451333	806.7447692699	618.5710113716	929.3530951364	-3.96871389296278E-11	0.0090047238	-0.004859255	3	0.0007516446	0.9498221716	17.7169349488	-17.3621997946	3	5.3878039942	11154	0.8435302125	1	0		
190408_07-08-0032	22	2.803662291	0.9559838971	4.5271898864	1.6210494433	0.0150606526	0.0048828125	0.0101778401	14	0.0542808448	43.53125	801.9633838732	1279.3466117216	543.3756105006	0.728929089	0.6392195122	116.3118747415	1.4607300098	79.6258541686	1.3576831325	1	745.5976246653	772.7737080789	1279.2574333327	667.0419857797	2.84225240420661E-09	0.0111297389	-0.0044710288	6	0.0007516445	0.9578245181	26.6657074079	-15.197421605	1	5.1964410521	6552	0.6839962418	1	0		
190408_07-08-0033	22	1.0899741327	0.0411695601	1.1294744653	3.8555270635	2.7262693317	1.6210494433	1.1052198883	7	0.0979796931	76	775.670933455	987.3718408796	530.5954035275	0.5813265848	0.7478017586	143.8815321504	1.2289989769	117.0721333848	0.5695973774	1	712.5409965273	745.3114321173	987.9360421249	530.7606714757	1.31113140776938E-09	0.0094424573	-0.004121455	2	0.0007516437	0.9344874281	22.3734874465	-16.7117965389	2	5.1928064813	13097	0.9983991462	1	0		
190408_07-08-0034	22	1.0570530798	0.0020958703	1.0880064229	4.2044820763	2.7262693317	1.767766953	0.9585023787	6	0.0253265301	18.5625	732.9270900344	1141.5234173958	774.9675759135	0.9674226475	0.6052959502	112.7840236786	3.9499652377	28.5531686714	-0.0618812752	0	710.5267946669	785.0721835431	1144.3103626833	783.5707463267	-1.63472303955645E-09	0.0332594165	-0.0086976386	5	0.0007516429	0.9929447331	27.7959763099	-8.0427292362	3	5.143326064	1943	0.6372581174	1	1	1	
190408_07-08-0035	22	1.1543163338	0.1002705639	1.2347210322	3.8555270635	2.5	1.25	1.25	9	0.0513789966	40.625	790.6927479798	953.1721932335	278.9346911294	0.676191023	0.642965368	103.9605261927	1.3573561109	76.5904579919	0.2784967368	1	706.1620739649	727.0010628965	953.6262204284	278.360415852	4.51646166471099E-10	0.0098203582	-0.0094182693	6	0.0007516442	0.9402988088	19.0968657999	-16.4076047881	4	5.1330286852	5941	0.9989910879	1	0		
190408_07-08-0036	22	1.1617746004	0.0993939467	1.274373401	3.5355339059	2.7262693317	1.25	1.4762693317	10	0.098892048	71.4375	722.3786079509	878.28770152	1359.7109166283	0.7482063273	0.7048701299	145.3047066277	1.5072359696	96.4047498591	-0.4855779713	1	697.534911639	856.1844487603	880.6268053185	1351.9709397019	-4.34318933690093E-09	0.0129008264	-0.0045857987	8	0.0007516436	0.9492104671	24.2083458858	-17.2940059299	2	5.1146284601	10855	0.9387702153	1	0		
190408_07-08-0037	22	1.2151998359	0.2641393314	1.3558264818	3.5355339059	2.9730177875	1.3631346658	1.6098831217	10	0.0916211878	68.1875	744.2328747503	294.4643059261	853.0661330746	0.8947831562	0.7208041958	188.6542592866	2.2396368639	84.2343070547	-0.0638998663	1	567.219201415	793.3047963136	298.3394480415	827.7127303856	2.2016181008551E-09	0.0096385775	-0.0037136102	3	0.0007516435	0.8852057241	22.4881803328	-16.0321890917	5	5.0726733273	12369	0.6952000899	1	0		
190408_07-08-0038	22	1.2872491824	0.4409659886	1.4930911891	3.5355339059	2.9730177875	1.25	1.7230177875	11	0.1500729881	103.9375	692.5796662499	239.9983391374	720.8784891508	0.8227417413	0.7345533255	205.1658489543	1.7592768628	116.6194209067	-0.0517756415	1	563.5649243235	771.1078849999	236.7093072427	721.2964215566	6.89614899611666E-10	0.0095708422	-0.0035503303	2	0.0007516432	0.8744878111	21.7660540081	-16.05372245	3	5.0154931271	18665	0.9998928591	1	0		
190408_07-08-0039	22	1.1169484804	0.0722268015	1.1930134524	3.8555270635	2.7262693317	1.3631346658	1.3631346658	9	0.0745967986	59.625	799.2970362649	1081.5194550622	488.350877193	0.1857558748	0.764957265	115.9832395002	1.0177123403	113.9646586863	-0.5181122905	1	736.9245309822	763.8437811481	1086.2457232863	577.8380605598	-4.79798597209434E-09	0.009552232	-0.0045090819	4	0.0007516435	0.9371239659	22.6852521528	-13.7592160482	3	5.0103387243	10203	0.8043992431	1	0		
190408_07-08-0040	22	1.1545044409	0.1124002856	1.2741789466	3.5355339059	2.5	0.9638817659	1.5361182341	12	0.1043410953	75.625	724.7863347071	791.451408756	1381.1397485913	0.7243954172	0.6572649573	147.1109296194	1.4505688686	101.4160256727	-0.7098386519	1	679.1464602997	873.0064096581	792.4721813639	1379.8262171017	-2.7134633515746E-09	0.0112976745	-0.0037195755	3	0.000751644	0.9543763773	24.7700921241	-17.5381499443	2	4.9969132668	11535	0.9997399896	1	0		
190408_07-08-0041	22	1.0880017265	0.0557325694	1.1518391174	3.8555270635	2.7262693317	1.3631346658	1.3631346658	9	0.0795184078	63.4375	797.7712553886	1145.5963449554	1035.5857335355	0.7860147855	0.695769366	157.6941982643	1.6175793416	97.4877671895	-1.5556929965	1	749.9389685976	811.2951389891	1146.1261870026	1033.5941817021	2.92903459918107E-09	0.008608033	-0.0043793591	10	0.0007516437	0.9337465137	18.0952784449	-18.7330094729	3	4.9553809064	11874	0.9992426155	1	0		
190408_07-08-0042	22	1.1085027881	0.0569451918	1.1681981956	3.8555270635	2.7262693317	1.4865088938	1.2397604379	8	0.093252507	74.25	796.2252425668	1020.1753579503	1058.1255463451	0.592126178	0.7230819529	146.8887144388	1.2409330238	118.369574847	0.1492100214	1	716.4106828474	824.2630133694	1020.626471331	1058.2751313209	-1.8193130531952E-09	0.0098072711	-0.0042306594	4	0.000751644	0.9369066439	20.3245253485	-16.129298036	2	4.9485751329	13270	0.9997739772	1	0		
190408_07-08-0043	22	1.121875596	0.0689268929	1.2061897245	3.5355339059	2.7262693317	1.3631346658	1.3631346658	9	0.05512951	43.90625	796.4201024212	949.6450533694	1213.3178269874	0.9147158469	0.3844316512	172.6449089425	2.4746493171	69.7654038277	0.3989715568	1	698.4503418409	831.9877369337	946.5026631588	1211.2833161443	-8.54310693837482E-10	0.0140250148	-0.0049406069	7	0.0007516437	0.9444884148	22.5463461127	-16.4059251495	1	4.9300308432	6277	0.980934521	1	0		
190408_07-08-0044	22	1.1259207023	0.0462596217	1.2025377826	3.5355339059	2.9730177875	1.4865088938	1.4865088938	9	0.1147306592	80.8125	704.3670853798	712.1264002542	491.2334948757	0.4636741417	0.6860148245	136.2746828041	1.1286607739	120.7401603304	1.2327663996	1	660.468854868	738.4243938719	709.5480712702	488.9876877305	2E-09	0.0122746582	-0.0040444503	1	0.0007516441	0.9600844725	21.9545402702	-15.7698890606	3	4.9257600609	12587	1	1	0		
190408_07-08-0045	22	1.0282405982	0.0023985044	1.0404173061	4.585020216	2.7262693317	2.1022410381	0.6240282935	4	0.028392291	20.859375	734.6844596026	936.8763874874	771.6942482341	0.8228752129	0.5178991377	74.3755014058	1.7598751526	42.2618055018	-0.0234225156	0	692.9506950199	784.6901836565	936.4593652897	786.3017581614	-2.76833500736988E-09	0.0186436759	-0.006189584	2	0.0007516437	0.9737503632	25.3278893967	-8.8570990938	2	4.9054670731	1982	0.4769008662	1	1	1	
190408_07-08-0046	22	1.0467847276	0.0086197119	1.0618282023	4.2044820763	3.2420988866	2.292510108	0.9495887786	5	0.0678146832	55.9375	824.8582366462	731.3041573154	743.6349257241	0.8727709972	0.7449840764	157.1211848361	2.04863506	76.6955461731	-0.0486599876	1	656.7758055352	780.074226365	732.0906663562	743.4951689767	-3E-09	0.0094017959	-0.004898465	1	0.0007516442	0.9524613972	16.5075481741	-12.2999149242	2	4.8872999993	9357	1	1	0		
190408_07-08-0047	22	1.2820828241	0.4397223806	1.5193339683	3.5355339059	2.9730177875	1.146255054	1.8267627335	12	0.1413522344	96.0625	679.5966149619	197.1255796925	890.0144007811	0.7590636197	0.7361092395	180.5204576281	1.5360594902	117.5217879136	0.0471829692	1	551.8483268045	802.5282071912	192.9187833557	888.7709172239	-3.41367346510694E-09	0.0103062175	-0.0037030856	2	0.0007516435	0.8872122382	21.0516548618	-15.7082615511	3	4.8521786328	16388	0.9999389835	1	0		
190408_07-08-0048	22	1.1685691923	0.095281465	1.2511416312	3.8555270635	1.146255054	0.6815673329	0.4646877211	7	0.0530456227	44.65625	841.8460884184	1404.9411131611	836.2063345633	0.8292144972	0.7071102414	122.2201971789	1.7891311674	68.3125974254	0.029211428	1	729.0461130949	789.6355132644	1405.2542510833	836.6188235487	2.91580923570896E-09	0.0115164306	-0.0046139143	1	0.0007516449	0.9641867808	26.7571708689	-15.2997323011	2	4.8260826708	6504	1	1	0		
190408_07-08-0049	22	2.6557201447	0.5974780931	4.8822295693	1.9277635318	0.0126644488	0.0048828125	0.0077816363	12	0.1077508621	86.4375	802.1977578394	781.338049579	959.7515785781	0.6971155551	0.7281086374	175.2202079783	1.3947803103	125.6256678434	0.4955853081	1	674.2608331124	815.7055916522	779.7292974313	959.3465348283	-1.15043096689112E-09	0.0078682851	-0.0039491653	2	0.0007516439	0.9498311507	16.7615883835	-15.9760411302	1	4.8123919534	17104	0.9999415376	1	0		
190408_07-08-0050	22	1.0508250571	0.0234377525	1.0770608879	3.5355339059	2.7262693317	1.25	1.4762693317	10	0.0621793279	42.34375	680.9940121592	537.603861518	986.6954061252	0.5748330345	0.7632113821	97.1561023469	1.2220894225	79.4999944861	-0.272933016	1	627.7736474288	792.1105258489	537.2341030181	824.8663413417	1E-09	0.0141617121	-0.0037467831	2	0.0007516436	0.9594125657	17.3844695893	-15.0506428367	3	4.7591260146	6008	0.5635493856	1	0		
190408_07-08-0051	22	1.0346018054	0.0054079024	1.0609716906	4.2044820763	2.5	1.3631346658	1.1368653342	8	0.1270018317	79.3125	624.4988668098	857.7229558865	1436.4089163623	0.9775887271	0.3636828122	257.7329271359	4.750056213	54.2589214905	-0.425189266	1	686.5027589734	875.3274010595	857.2114513703	1439.6824112942	1.39027311603964E-09	0.0139093885	-0.0037055522	1	0.0007516439	0.9818977289	13.9588191965	-25.8806323127	2	4.7416796643	10677	1	1	0		
190408_07-08-0052	22	1.0276203005	0.0124553708	1.0442798089	4.2044820763	0.9638817659	0.7432544469	0.220627319	4	0.0436331244	35.59375	815.7506589537	1322.5969972343	601.9454760964	0.5626586595	0.7621198434	88.8797885776	1.2096442702	73.4759720406	-0.9517903553	1	736.4296438405	780.4091746858	1323.3105925633	710.7250560327	3.6404753348839E-09	0.0115274385	-0.0052327516	2	0.0007516465	0.9499401917	24.3024913728	-17.5197543438	3	4.7208591837	5062	0.6369699258	1	0		
190408_07-08-0053	22	2.2535364768	0.6078213619	3.4045174402	1.9277635318	0.0126644488	0.0048828125	0.0077816363	12	0.0661929537	52.96875	800.2173501393	1312.6017975772	668.4480917025	0.7176402366	0.6871643394	120.3099756983	1.4359274334	83.7855541326	-0.5062065992	1	743.8646379241	776.5309905536	1315.3935097633	679.6069344342	-2.55507840226977E-09	0.0124539943	-0.0044167742	3	0.0007516444	0.9616209262	26.4406123269	-13.147518736	1	4.7107682898	7677	0.8892621337	1	0		
190408_07-08-0054	22	1.0558438303	0.0277655711	1.0819593068	3.5355339059	2.5	1.25	1.25	9	0.0668706687	55.53125	830.4276163948	634.194193611	134.3468297893	0.8354455577	0.7117976363	155.402526169	1.8195937688	85.4050661397	-0.030342614	1	652.2139015876	712.6727334085	634.3884602931	134.7815720505	4.66283140628085E-09	0.0087889565	-0.0042346403	5	0.0007516442	0.95479747	15.4292004213	-16.4483699781	4	4.6891719919	10299	0.9990299738	1	0		
