exp_ic	age	spatial.std	spatial.avg	spatial.min	spatial.max	spatial.n.domains	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	region.orient	threshold.area	mass.total	mass.region	region.majmin.ratio	region.extent	threshold.perc	region.centroid.1	region.centroid.0	mass.perc	region.eccentricity	region.minaxis	region.majaxis	temporal.autocorr	temporal.min	temporal.max	temporal.std	temporal.n.freq	freq.range.high	freq.maxsnr.freq	length	freq.avgsnr	freq.integrate	freq.range.low	freq.maxsnr	freq.rangesz	artifact	signal	noise	hemodynamic	movement	res
190904_01-02_600components-0012	21	0.0007609649	2.08295558396918E-10	-0.0053693964	0.0065742975	0	709.3390004938	818.8795341281	1051.1712516747	918.0231245301														0.9932341067	-10.4625063935	17.0407143109	4.8799108604	0									0	1				6.95
190904_01-02_600components-0013	21	0.0007609637	1.4684877574771E-10	-0.0042182412	0.0157429943	7	698.9777783039	717.4331806382	968.0487810477	259.3568453053	0.7692447982	13517	602.0448968773	89.625	3.9182716542	0.3265606881	0.9941894675	256.677961086	961.4716283199	0.1488676351	0.9668844426	68.2981642518	267.6107610229	0.9803703775	-20.8840997584	28.5927487375	4.8781058459	2	1.3631346658	2.5	14	1.2981196711	0.1996887611	0.4419417382	1.48225465	0.9211929276	0	1				6.95
190904_01-02_600components-0014	21	0.0007609639	-3.18619142225875E-11	-0.0065083467	0.0336046809	4	654.2916420279	825.2817031086	893.0049983034	828.9050562596	0.0222095371	328	897.2416831628	2.12109375	4.6077940221	0.5694444444	0.9618768328	803.3597560976	883.2591463415	0.0023640161	0.9761663595	9.8665149822	45.462868754	0.9900923529	-11.8812101361	12.3956536064	4.8752428819	2	5	5	1	1.1461168533	0.0016877635	4.2044820763	1.2281553557	0.7955179237	1	0		1		6.95
190904_01-02_600components-0015	21	0.0007609643	-2.95044992181197E-10	-0.0289722121	0.0276850259	0	721.5378248586	836.0184664804	1098.3512061439	859.3438269283														0.9876384141	-11.7278755273	18.8815951986	4.4605421584	1	0.0063322244	3.8555270635	4	1.6393429188	0.338413394	0.0048828125	2.0904371398	0.0014494119	1	0			1	6.95
190904_01-02_600components-0016	21	0.0007609638	0.000000001	-0.004343873	0.0122336375	17	517.145023167	944.84854771	83.1047067104	1381.9708191817	1.1834533444	18181	774.1029753969	87.25	4.9269754488	0.3474164947	0.9968200011	1384.4842417909	82.9548429679	0.1127111028	0.9791861432	72.3121384021	356.2801305541	0.9328205897	-27.2031331355	12.9001964321	3.9473850982	3	5	5	0	1.1338987708	0.0059615198	4.585020216	1.2470080036	0.414979784	0	1				6.95
190904_01-02_600components-0017	21	0.000760965	9.46803351591606E-10	-0.0062855961	0.0099532216	1	654.3819905503	747.8329660622	864.8015503921	174.3149851002	0.4965166868	8509	816.2424132294	57.125	2.316982796	0.5710738255	1	174.4451756963	864.3612645434	0.0699853366	0.9020671159	69.5236767697	161.0851629876	0.981768145	-17.8495314278	17.851528142	3.9462986512	2	0.9638817659	3.2420988866	9	1.1730695965	0.0736536199	0.4819408829	1.2838685416	0.4819408829	0	1				6.95
190904_01-02_600components-0018	21	0.0007609655	-9.78608489917614E-11	-0.0708343717	0.0396104535	0	686.2373300278	839.618983431	1111.5420978831	1233.7079883092														0.9652837516	-23.4507362559	45.8742259342	3.9126819912	2	2.1022410381	4.2044820763	5	1.2104397082	0.037753736	1.4865088938	1.3197335437	0.6157321444	1	0			1	6.95
190904_01-02_600components-0019	21	0.0007609638	-8.33016852783073E-10	-0.012084083	0.0100114356	3	641.8932427426	904.4905278061	697.3052127889	1557.0626355369	-0.354142749	554	767.1451182703	4.78515625	4.8736223931	0.3353510896	0.9892857143	1558.5415162455	703.1462093863	0.0062376155	0.9787229579	13.9490652442	67.9824767361	0.9865671138	-16.1065966801	13.5810308547	3.5310574804	2	5	5	0	1.0357191468	0.0003726018	4.585020216	1.0627316176	0.414979784	0	1				6.95
190904_01-02_600components-0020	21	0.000760965	-2.37259703634958E-09	-0.0056050096	0.0098268285	3	643.9742500497	748.2529396161	760.2455334693	172.5999209601	0.3677943936	7152	862.9220840267	43.84375	2.9946193327	0.5258823529	0.9961002786	165.4237975392	761.7486017897	0.0508084691	0.9425970752	56.6115224878	169.529959696	0.9791177328	-14.9446831456	15.7529532771	3.3952226609	2	0.9638817659	4.2044820763	5	1.0236595278	0.0050859153	0.6815673329	1.0445708223	0.282314433	0	1				6.95
190904_01-02_600components-0021	21	0.0007609653	-8.56984883954737E-10	-0.0107977991	0.0202341039	0	649.2392678739	758.7262833613	633.1164161255	1278.3339127141														0.982003703	-17.9945895355	14.9807756846	3.1897870825	2	1.0511205191	3.5355339059	8	1.0714109185	0.0220319242	0.573127527	1.1176540571	0.4779929921	0	1				6.95
