exp_ic	age	spatial.std	spatial.avg	spatial.min	spatial.max	spatial.n.domains	region.orient	threshold.area	mass.total	mass.region	region.majmin.ratio	region.extent	threshold.perc	region.centroid.1	region.centroid.0	mass.perc	region.eccentricity	region.minaxis	region.majaxis	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	temporal.autocorr	temporal.min	temporal.max	temporal.std	temporal.n.freq	freq.range.high	freq.maxsnr.freq	length	freq.avgsnr	freq.integrate	freq.range.low	freq.maxsnr	freq.rangesz	artifact	signal	noise	hemodynamic	movement	res
191111_01-02_600components-0000	21	0.0007871814	3.01348935512752E-10	-0.0136998859	0.035796624	1	1.2145081328	2073	480.8707679444	35.5	6.4735159771	0.2439971751	1	960.2995658466	1240.3005306319	0.0738244085	0.9879966101	22.2381194334	143.9588214521	734.5209102969	794.4318407765	1236.8653307878	952.6600417156	0.9994010332	-13.3433923154	27.9442800884	9.6711388181	1	2.1022410381	3.5355339059	13	1.1464970345	0.0015768431	0.7432544469	1.2635054213	1.3589865913	1	0		1		6.92
191111_01-02_600components-0001	21	0.000787182	-3.31350119577609E-09	-0.0084374231	0.0401136442	4	1.1936336086	1872	635.3083361583	27.859375	9.2753804599	0.1887858007	0.9551020408	941.5283119658	1245.6436965812	0.0438517385	0.9941712681	18.5592376484	172.1439902345	722.0364095998	785.3698696095	1244.1563622483	942.6406889889	0.9990304836	-12.4191325218	11.0890141796	5.5067545867	2	1.767766953	3.8555270635	8	1.1216831747	0.0012484651	0.9638817659	1.196721923	0.8038851871	1	0		1		6.92
191111_01-02_600components-0002	21	0.000787181	1.16709833627763E-09	-0.0312393759	0.0411791591	0														802.9628207063	778.3525068028	1026.3817807296	482.6335572985	0.9873245429	-16.9941190776	28.1560392959	4.9543501721	0									1	0			1	6.92
191111_01-02_600components-0003	21	0.0007871821	-1.46218440635234E-10	-0.0281469624	0.0424038641	0														684.9959959237	773.51077623	1010.333411276	573.0047541158	0.9996280902	-8.0552559313	7.73247496	4.9217399332	2	5	5	1	1.046354997	1.21704657421168E-05	4.585020216	1.0794793918	0.414979784	1	0			1	6.92
191111_01-02_600components-0004	21	0.0007871829	6.37103442825093E-10	-0.0179817778	0.0215988792	1	0.7973877793	290	709.2656938311	5.46875	3.221795667	0.4296296296	1	1009.3172413793	1264.5827586207	0.0077104392	0.9506106369	10.8998555171	35.1171072759	710.1670900987	790.3894188203	1264.3129935435	1008.78293742	0.9985947897	-6.820539979	13.1884670042	4.173149796	0									1	0		1		6.92
191111_01-02_600components-0005	21	0.0007871815	1.19113534714503E-09	-0.0151921575	0.0098263086	47	0.1724880865	4820	790.8946281529	20.921875	2.6356892188	0.2407592408	0.556646264	1177.4794605809	160.7253112033	0.0264534291	0.9252297136	66.8909389671	176.3037266733	522.4131047841	867.7666732711	170.3033098647	1154.4653073669	0.9974564312	-14.8177782392	9.8163568514	3.7354486499	1	0.9638817659	1.3631346658	29	3.3391261775	1.7450169908	0.0851959166	6.4619439346	0.8786858493	0	1				6.92
191111_01-02_600components-0006	21	0.0007871819	5.97271311234037E-10	-0.0050955063	0.009089076	4	0.3381841336	1189	797.8466979549	7.09375	8.7963433854	0.2101449275	0.7290006131	865.7863751051	1367.897392767	0.0088911191	0.9935170047	14.2424321483	125.2813238196	825.1830946983	778.6493083769	1368.9291130826	832.5141449158	0.9948350186	-12.7204916335	12.2031643374	3.7149692173	1	1.25	0.8838834765	33	2.2852937215	2.1978280837	0.078125	4.1441227616	1.171875	0	1				6.92
191111_01-02_600components-0007	21	0.0007871818	-3.95142331433849E-10	-0.0053327876	0.0120700625	7	-0.0691410473	5911	725.6613567548	38.125	4.9538271526	0.2307181889	0.5994929006	789.296734901	317.3821688378	0.0525382806	0.9794135356	54.7271922575	271.1090509934	597.0390669828	772.8004221825	309.6320246001	772.0126568019	0.959866706	-7.0388573717	93.6373543773	3.6012646205	2	2.292510108	3.2420988866	15	1.2799492612	0.2705706432	0.6815673329	1.519697432	1.6109427751	1	0		1		6.92
191111_01-02_600components-0008	21	0.0007871826	2.96996932484751E-10	-0.0049421527	0.0081692086	3	-0.7085303632	5747	843.9270212865	29.015625	1.4903569821	0.3594121326	0.9991307371	565.7250739516	612.4003828084	0.0343816755	0.7414752825	88.2430306767	131.5136168883	648.242003864	739.8880440689	612.181394783	567.6319508262	0.9975293468	-17.6228466722	6.4544209103	3.4687759519	1	0.8105247217	1.767766953	29	3.0881006605	1.3628002462	0.0716409409	5.9714491536	0.7388837808	0	1				6.92
191111_01-02_600components-0009	21	0.0007871823	2.09621695684366E-10	-0.0246457421	0.0451319825	0														712.7087724616	777.2635109621	520.1739103554	854.5608840834	0.9990136365	-4.2154944548	11.4055712009	3.4370040134	1	5	5	1	1.0437345755	1.60447705457471E-05	5	1.0437345755	0	1	0			1	6.92
