exp_ic	age	spatial.std	spatial.avg	spatial.min	spatial.max	spatial.n.domains	region.orient	threshold.area	mass.total	mass.region	region.majmin.ratio	region.extent	threshold.perc	region.centroid.1	region.centroid.0	mass.perc	region.eccentricity	region.minaxis	region.majaxis	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	temporal.autocorr	temporal.min	temporal.max	temporal.std	temporal.n.freq	freq.range.high	freq.maxsnr.freq	length	freq.avgsnr	freq.integrate	freq.range.low	freq.maxsnr	freq.rangesz	artifact	signal	noise	hemodynamic	movement	res
190613_03-04_600components-0000	22	0.0007516428	-9.17070900539279E-10	-0.0048425247	0.0166732476	1	-0.0007432052	9873	578.2002200891	77.625	19.3873861581	0.7345982143	1	775.752861339	459.1559809582	0.1342528026	0.9986688695	26.04341001	504.9136467377	626.9461632454	800.9769123341	462.7481767962	777.5048147489	0.9990475935	-20.970981282	28.6679545243	15.2607979353	0									1	0		1		7.04
190613_03-04_600components-0001	22	0.0007516424	-5.52886058539057E-10	-0.0083630905	0.0086408857	4	1.2822516936	1817	670.4367431927	13.6171875	1.9549238648	0.4414480078	0.9956164384	896.1425426527	1586.0952118877	0.0203109207	0.8592660896	40.1021117862	78.3965753592	893.1526192059	852.8324444996	1584.9587422228	895.6870241956	0.9988249783	-18.643852025	26.8735203424	10.6095972187	2	1.767766953	4.585020216	3	1.0391841571	0.0001444278	1.4865088938	1.054183019	0.2812580592	0	1				7.04
190613_03-04_600components-0002	22	0.0007516443	-3.19236558090602E-09	-0.0064839739	0.0068829827	13	0.962304974	626	846.1495030501	3.37109375	3.3273055857	0.3650145773	0.9470499244	625.8881789137	1553.7971246006	0.0039840403	0.9537681147	16.4744530391	54.8155396179	854.4050409305	767.5440008085	1551.8709702759	632.8013712479	0.9976384099	-17.5640315883	23.3716311682	10.2708345039	1	0.3125	3.2420988866	10	1.1389033746	0.02494531	0.1432818818	1.2092346299	0.1692181182	0	1				7.04
190613_03-04_600components-0003	22	0.0007516445	2.54692778890789E-09	-0.007018437	0.0080982374	1	-0.8349702431	69	901.4928901731	0.4924316406	3.7081184526	0.3791208791	1	483.5072463768	263.7971014493	0.0005462402	0.9629504041	4.8889669004	18.1288683773	619.0111223407	752.4081605558	289.372386231	479.0279488295	0.9992781014	-21.0850059416	15.1465234618	9.9240363827	1	0.3716272234	2.292510108	16	1.3275724006	0.034177236	0.1013155902	1.4844323239	0.2703116332	0	1				7.04
190613_03-04_600components-0004	22	0.000751644	-1.48368975835989E-09	-0.0038709394	0.02093192	7	0.3582564203	7236	577.6180872773	66.625	3.2641898267	0.4275079759	0.9736275565	773.0668877833	1325.3811498065	0.1153443797	0.9519174219	57.9330644911	189.1045197416	777.1548740779	791.1447652727	1321.0959356809	773.8664638769	0.9948891628	-11.8548429756	37.1127729801	9.7044353477	1	4.585020216	4.585020216	3	1.0313932303	0.000207872	3.8555270635	1.0407493604	0.7294931525	1	0		1		7.04
190613_03-04_600components-0005	22	0.0007516434	2.28276483245025E-09	-0.004356855	0.0059353873	19	-0.7110033786	5347	867.6955823758	22.015625	1.5218577249	0.2894808078	0.8353382284	1097.0643351412	662.0239386572	0.0253725217	0.7538106968	90.1507231205	137.1965743886	682.6792537476	850.9764959105	667.9041188811	1078.7106614154	0.9994065936	-20.1007123283	15.3119899042	9.4732523286	1	0.6815673329	1.6210494433	23	1.7923666885	0.0779546703	0.1013155902	2.5633024352	0.5802517427	0	1				7.04
190613_03-04_600components-0006	22	0.0007516449	9.05252622702025E-10	-0.0056415094	0.0087652524	9	1.0502933233	1055	877.5551939452	6	2.0818356912	0.2186981758	0.3897303288	1307.9962085308	230.945971564	0.0068371768	0.877079465	41.6525602892	86.7137866392	575.7422597463	875.9605368716	191.9165559932	1246.1558406943	0.9991988503	-16.9527257439	16.1155811139	9.1081679246	1	0.625	1.9277635318	22	1.9286885535	0.1294753205	0.1013155902	2.6718343143	0.5236844098	0	1				7.04
190613_03-04_600components-0007	22	0.0007516455	-1.88809083819715E-09	-0.0062916884	0.0120665105	8	0.1118736435	2066	843.1370811842	15.0703125	3.3519296935	0.5223767383	0.5192259362	794.4186834463	1414.8015488867	0.0178740953	0.9544610322	31.051097701	104.0810963993	766.3565129021	795.8638706465	1410.1474028683	810.5700152728	0.9915642024	-12.9728706239	26.2680142536	7.9386177095	2	5	4.585020216	3	1.02984447	0.000403985	3.8555270635	1.045114082	1.1444729365	1	0		1		7.04
190613_03-04_600components-0008	22	0.000751645	-4.32260610608465E-09	-0.0059095064	0.008370045	1	-0.737744721	1329	890.1242178898	7.7578125	2.2111690568	0.2717235739	1	564.4063205418	575.848758465	0.0087154268	0.8918914905	36.0919110966	79.8053170182	664.2620713324	751.1075684143	576.4967758171	564.2677727256	0.9989804627	-17.968969028	12.9309109994	7.3691424413	1	0.5255602595	1.9277635318	22	1.8782041714	0.1740873548	0.0851959166	2.3763005252	0.4403643429	0	1				7.04
190613_03-04_600components-0009	22	0.0007516449	-4.87492690407881E-09	-0.0051842777	0.0107975548	2	0.5704620035	5299	857.3677994121	31.765625	2.398858951	0.1878411911	0.9977405385	1247.2128703529	531.9762219287	0.0370501727	0.9089684751	83.8810553392	201.2188204216	658.715214999	866.5302217099	531.921444792	1246.6889455857	0.9982537725	-17.0767989567	12.47092999	6.723894136	1	0.4419417382	2.5	17	1.5516061295	0.1223496525	0.1104854346	1.9789729008	0.3314563037	0	1				7.04
190613_03-04_600components-0010	22	0.0007516458	-2.38704563975104E-09	-0.006035474	0.0074094427	2	0.5132667669	1783	932.6356715311	10.1640625	6.2042692157	0.2282970551	0.9994394619	1170.5608524958	351.2966909703	0.0108982133	0.9869251346	21.0718618915	130.7355040504	635.8507862817	836.325729334	353.6181137042	1168.6775696386	0.9988529126	-13.475780424	11.3609834591	6.6508303006	1	0.4052623608	2.7262693317	17	1.4884861491	0.0750154648	0.1013155902	1.7742012117	0.3039467706	0	1				7.04
190613_03-04_600components-0011	22	0.0007516448	8.90271972161014E-11	-0.0050675867	0.0073428743	9	0.5047518955	3203	889.6016195237	14.5625	1.7961499686	0.1900777402	0.9541257075	447.676241024	1011.3315641586	0.0163696869	0.830682529	100.9464036409	181.3148797337	771.6725817941	743.608739144	1025.0724344783	450.3014628944	0.9981576476	-13.7668960713	13.770242011	6.4380780994	1	0.573127527	1.767766953	23	1.9493390406	0.3993349443	0.0851959166	2.6989243685	0.4879316104	0	1				7.04
190613_03-04_600components-0012	22	0.0007516444	-2.16214006950793E-09	-0.0047622041	0.011903396	8	0.3195348664	11661	651.3811345625	78	2.0983614068	0.5355469826	0.9984587722	145.4415573278	832.3754394992	0.1197455619	0.8791406862	85.6547356749	179.7345916474	720.6861567854	658.4329888271	835.1200819155	145.7017867701	0.9963475789	-14.1830545258	16.9995368111	6.4326508853	0									0	1				7.04
190613_03-04_600components-0013	22	0.0007516454	1.45072501128365E-09	-0.0082091315	0.0115588117	4	-0.5682443944	148	911.0095157545	1.2919921875	6.183062205	0.2686025408	0.6040816327	401.277027027	201.0405405405	0.0014181983	0.9868346917	5.8952221763	36.4505254282	622.8981949625	742.7366417052	207.3607530893	406.2103789326	0.9989126742	-18.658262469	9.8233842819	6.1470514889	1	0.573127527	1.3631346658	22	1.6030983593	0.1188828244	0.0929068059	1.9305423151	0.4802207211	0	1				7.04
