exp_ic	age	spatial.std	spatial.avg	spatial.min	spatial.max	spatial.n.domains	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	region.orient	threshold.area	mass.total	mass.region	region.majmin.ratio	region.extent	threshold.perc	region.centroid.1	region.centroid.0	mass.perc	region.eccentricity	region.minaxis	region.majaxis	temporal.autocorr	temporal.min	temporal.max	temporal.std	temporal.n.freq	freq.range.high	freq.maxsnr.freq	length	freq.avgsnr	freq.integrate	freq.range.low	freq.maxsnr	freq.rangesz	artifact	signal	noise	hemodynamic	movement	res
171211_01-02_600components-0000	22	0.0008363811	4.26228620039506E-10	-0.0076450925	0.0154538033	2	868.1671477691	704.7838490281	981.4414497102	695.3707393618	-0.0228417911	5804	578.2608952761	50.46875	9.7271506868	0.7727333245	0.7239615816	700.3595796003	988.2975534114	0.0872767818	0.9947015262	28.3065787462	275.3423568931	0.9986323955	-12.4616414504	28.4091292535	7.8468232045	1	4.2044820763	4.585020216	3	1.044581384	9.40089276326884E-05	3.5355339059	1.0684382237	0.6689481703	1	0		1		6.73
171211_01-02_600components-0001	22	0.0008363802	-6.43240220611022E-10	-0.0284479688	0.03205309	0	782.1972246856	634.4906597626	755.1444864984	226.4820748501														0.9984409461	-13.0766257992	15.0599745529	6.9574694644	2	5	5	1	1.084867992	0.0001021251	4.585020216	1.1485650376	0.414979784	1	0			1	6.73
171211_01-02_600components-0002	22	0.0008363815	-4.70621010523443E-09	-0.0073330231	0.010345447	1	939.415178005	668.9436940397	1429.18905619	537.5671265398	-1.2629568344	7357	619.7487715355	55.40625	6.029225454	0.2962709407	1	537.2245480495	1429.5439717276	0.0894011453	0.986149514	44.3158123457	267.1900238098	0.9950118988	-9.402792122	29.7948783595	6.4256217939	1	4.585020216	4.2044820763	4	1.080686485	0.0007819878	3.5355339059	1.1134663316	1.0494863101	0	1				6.73
171211_01-02_600components-0003	22	0.0008363806	1.15896384902518E-09	-0.0108841372	0.0201393607	2	810.1836125865	702.1708480325	820.5186726123	697.2271231947	-0.0282498187	3131	569.9141541684	37.28125	4.5707991087	0.8057128152	0.7790495148	701.8438198659	816.9833918876	0.0654155538	0.9757741834	29.7168578764	135.8297874964	0.9987389655	-8.4143342631	19.3885926876	5.6157439276	0									1	0		1		6.73
171211_01-02_600components-0004	22	0.0008363811	-1.11583748456448E-09	-0.0087819078	0.0233019877	8	756.9178021464	705.8525268635	254.6140975986	691.8075964682	-0.1596845253	2446	655.7095964243	23.71875	5.2578260763	0.4059077332	0.5391227683	668.5106295993	229.6275551922	0.0361726443	0.9817467835	25.5475826021	134.3247459914	0.9875315556	-9.050951332	43.7272365648	4.6723653047	0									1	0		1		6.73
171211_01-02_600components-0005	22	0.000836381	2.75691512506603E-09	-0.0090383832	0.0109732008	2	771.9348007635	710.9364676127	497.7236994079	706.0484216577	-0.2064113848	2275	737.2741045026	19.046875	3.1459897248	0.6842105263	0.9982448442	706.2936263736	497.8553846154	0.0258341842	0.9481359853	30.523993689	96.0281705051	0.9850195237	-10.3020980503	25.0463368711	4.3855475176	0									1	0		1		6.73
171211_01-02_600components-0006	22	0.0008363823	-2.34784140401269E-09	-0.0113294541	0.0127218074	1	875.9963025315	704.6528236113	1147.1648993008	717.9636751496	0.0114483806	45	785.2509327483	0.34765625	1.1670434894	0.625	1	696.2666666667	1180.5333333333	0.0004427327	0.51553903	7.1750959587	8.3736490244	0.9930636271	-6.8079190902	16.3603811751	4.0814170533	1	4.585020216	4.585020216	4	1.0874823166	0.0011121882	3.5355339059	1.1285053347	1.0494863101	1	0		1		6.73
171211_01-02_600components-0007	22	0.0008363811	7.94131847966937E-11	-0.0094585994	0.0180960824	3	800.9868362628	708.5908419149	669.8950677502	701.0335229774	0.0514793172	1772	710.1515719784	17.921875	4.8247249607	0.8438095238	0.9977477477	698.1094808126	671.4401805869	0.0252366899	0.9782846872	21.9052054344	105.6865914294	0.9957105017	-9.0265564201	13.4380552144	3.7687488705	0									1	0		1		6.73
171211_01-02_600components-0008	22	0.0008363809	-2.73093265582237E-09	-0.0089490116	0.010712726	2	931.5800833235	626.4168758047	1216.4071076979	259.5043895058	0.890465935	1088	814.0111808772	6.625	8.1295926824	0.1446808511	0.9981651376	255.7977941176	1216.8520220588	0.0081387088	0.9924057544	16.5104675047	134.2233758092	0.9924685574	-13.2152693809	10.4492390576	3.62956803	1	0.4819408829	2.292510108	18	1.7460945282	0.8492042172	0.1104854346	2.5411343834	0.3714554484	0	1				6.73
171211_01-02_600components-0009	22	0.0008363802	2.89130426557124E-09	-0.0078489121	0.0292783169	2	785.303820296	706.8285064848	423.7380294528	700.1883845279	-0.2325201974	1970	559.5470967747	31.171875	4.4437848532	0.5426997245	0.8987226277	702.8497461929	426.1984771574	0.0557091176	0.9743510509	24.134157191	107.2470021697	0.9908775703	-5.7109287175	38.6249761799	3.5878963423	0									1	0		1		6.73
