exp_ic	age	spatial.std	spatial.avg	spatial.min	spatial.max	spatial.n.domains	region.orient	threshold.area	mass.total	mass.region	region.majmin.ratio	region.extent	threshold.perc	region.centroid.1	region.centroid.0	mass.perc	region.eccentricity	region.minaxis	region.majaxis	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	temporal.autocorr	temporal.min	temporal.max	temporal.std	temporal.n.freq	freq.range.high	freq.maxsnr.freq	length	freq.avgsnr	freq.integrate	freq.range.low	freq.maxsnr	freq.rangesz	artifact	signal	noise	hemodynamic	movement	res
190625_01-02_600components-0000	21	0.0007516469	1.18744167921119E-09	-0.0053537431	0.010983958	36	1.0610260228	6869	906.1717739301	28.65625	1.8972656374	0.3586196095	0.970334793	1120.2052700539	746.329596739	0.0316234193	0.8498191918	77.3910232817	146.8313291177	716.9176381435	834.3411327772	745.9091817788	1119.864356653	0.9992021497	-25.3902144532	52.6875148934	17.9536294216	1	2.5	3.8555270635	6	1.1874223308	0.0007629202	1.6210494433	1.2919453179	0.8789505567	0	1				7.06
190625_01-02_600components-0001	21	0.0007516468	-0.000000005	-0.0087435348	0.0058686933	0														580.1303500764	868.1245754898	616.0115496237	977.6210188751	0.9993243351	-25.1941926022	70.0988563678	17.6072489608	1	2.1022410381	2.7262693317	19	1.0566536764	0.0014749163	0.4419417382	1.0898924366	1.6602992999	0	1				7.06
190625_01-02_600components-0002	21	0.0007516475	-2.71863941390495E-09	-0.0103135868	0.0055982483	22	0.4419022899	205	934.9938797043	0.8452148438	5.6919043393	0.1906976744	0.2533992583	826.0243902439	452.1414634146	0.000903979	0.984445876	8.7532034844	49.8223968959	661.889342638	776.900751452	436.8155325654	787.8461485148	0.9990529759	-18.9658495589	59.2717266226	17.0994991182	2	0.7432544469	4.2044820763	5	1.0571673747	0.0007847407	0.5255602595	1.0862603011	0.2176941873	0	1				7.06
190625_01-02_600components-0003	21	0.0007516484	2.50573132574424E-09	-0.0084903703	0.0089325725	0														663.0171550559	847.603747249	1040.2145371486	822.0572133836	0.9992336707	-45.2776480713	23.0026456992	16.6664264114	1	2.5	3.8555270635	6	1.1630734922	0.0006531162	1.6210494433	1.2461434826	0.8789505567	0	1				7.06
190625_01-02_600components-0004	21	0.0007516472	0.000000003	-0.0054588722	0.0162051776	45	0.6398358246	2713	842.1352395695	18.859375	2.9494353951	0.0620298603	0.4002065201	1185.0070033174	447.3719130114	0.0223947106	0.9407690966	95.567743652	281.8708857608	641.5986777189	828.8828312163	419.0453889705	1103.9245804945	0.9994191311	-17.8556622212	49.3498437112	15.4904074957	1	0.6815673329	2.5	17	1.3049192432	0.0173085211	0.1703918332	1.5160968623	0.5111754997	1	0		1		7.06
190625_01-02_600components-0005	21	0.0007516466	-0.000000004	-0.0134750897	0.0069488678	36	-0.195989588	8740	821.3725601011	39.59375	2.6763384114	0.5141176471	0.9858996052	141.8584668192	413.0631578947	0.0482043739	0.9275718538	67.1995398016	179.8487096014	636.3592656138	633.085182683	410.4688366712	146.256425869	0.9993235658	-50.3405816071	26.2426843488	14.5472879435	1	0.7432544469	1.3631346658	25	1.1017527965	0.0151940228	0.0929068059	1.1766851015	0.650347641	0	1				7.06
190625_01-02_600components-0006	21	0.0007516479	-2.52605096069735E-09	-0.0117717861	0.0101968006	25	-1.0091670599	1576	858.089465382	9.703125	3.0410303185	0.3963782696	0.924340176	251.355964467	79.3515228426	0.0113078244	0.9443870701	26.9840567129	82.0593345801	638.8332229691	707.4451478746	94.488928924	242.9757108045	0.9994416949	-50.6464073553	23.3311647385	13.8483386518	0									0	1				7.06
190625_01-02_600components-0007	21	0.000751647	3.27959598223033E-09	-0.0161509291	0.0165013982	0														703.154476626	745.405739081	1249.4478678019	617.1518273554	0.9993704981	-47.0883387561	17.4915984312	13.0066789086	1	2.292510108	4.2044820763	4	1.0845177385	0.0001683617	1.767766953	1.1222883289	0.524743155	1	0			1	7.06
190625_01-02_600components-0008	21	0.0007516475	-2.07763708009342E-09	-0.0083037026	0.0095253122	7	0.1471527139	12173	760.7733264059	73.0625	4.974519965	0.5357834507	0.9977868852	50.9783948082	616.8532818533	0.0960371473	0.9795862299	57.2292755656	284.6881738809	693.7827654053	664.5348241145	618.977490127	50.6553711776	0.9987476153	-49.7016564773	20.2135810446	12.9199256295	1	2.7262693317	2.9730177875	11	1.2205100189	0.0033289139	1.146255054	1.3486071126	1.5800142777	0	1		1		7.06
190625_01-02_600components-0009	21	0.0007516471	-2.164218768488E-09	-0.0097911536	0.0119344484	6	1.1895432856	570	869.4959006597	5.12890625	16.936455152	0.0989068194	0.4272863568	646.7052631579	602.898245614	0.0058987124	0.9982553674	7.9713841562	135.0069902611	693.5793722714	798.6727715818	487.7951664568	867.0602515423	0.9983604064	-14.7940021614	54.5881624333	12.3172365936	0									1	0				7.06
190625_01-02_600components-0010	21	0.0007516478	3.37028900475666E-09	-0.0076651785	0.0140546986	18	1.0350299605	4609	904.7093992085	26.734375	1.3152817901	0.1765900383	0.7980952381	1256.6749837275	552.0019527012	0.0295502346	0.6495798797	115.098935646	151.3875341165	685.2507743918	832.8149537607	567.0985308173	1259.1329383225	0.9991459712	-17.4213064825	36.0891815087	11.4968716914	1	0.9638817659	3.5355339059	16	1.1622383839	0.0075723175	0.2627801298	1.2822199656	0.7011016361	0	1		1		7.06
190625_01-02_600components-0011	21	0.0007516468	1.76752588971827E-10	-0.0082044516	0.0078420626	0														669.8829793382	760.613889299	513.7558324105	517.6472157276	0.9990341337	-19.6093923053	28.4436711045	11.2524030672	0									0	1			1	7.06
190625_01-02_600components-0012	21	0.0007516463	-1.83091258958915E-10	-0.0080174573	0.0051771226	39	-1.1214658369	37482	810.1146540763	124.8125	1.4333962392	0.6295157958	0.9958287946	410.6215783576	234.3672429433	0.1540676982	0.7164447833	185.5853716386	266.0173737574	559.4617119894	663.0615874776	233.4649955901	409.2311139577	0.9984192539	-35.8055015067	20.0272377429	10.4978561141	1	1.3631346658	1.6210494433	23	1.372459385	0.0581557417	0.2026311804	1.6131318463	1.1605034854	0	1				7.06
190625_01-02_600components-0013	21	0.0007516471	1.15496307802071E-09	-0.0134984682	0.0148410442	8	-0.0072351627	6141	698.3652352776	38.84375	18.0539651641	0.7310714286	0.5435956449	777.3831623514	446.481843348	0.0556209674	0.9984648236	21.5973836403	389.9184118784	653.4793936344	782.2687749596	418.9335193378	788.2800721254	0.995362929	-8.974728373	63.3436595976	10.2635442411	2	1.3631346658	3.8555270635	7	1.0396152294	0.0023280918	0.8105247217	1.0669497265	0.5526099442	1	0				7.06
190625_01-02_600components-0014	21	0.0007516473	1.2920803282016E-09	-0.0201191362	0.0290386019	0														711.5849596543	803.2138605434	624.7566252128	1126.9768301778	0.9989615668	-18.194713875	19.5960897989	9.7613823669	1	2.7262693317	4.585020216	2	1.011402786	1.55821927452386E-05	2.5	1.0135349537	0.2262693317	1	0				7.06
190625_01-02_600components-0015	21	0.0007516473	8.51613520267156E-10	-0.0093532005	0.0127098593	4	1.044807766	572	914.3696245698	4.578125	5.4010320543	0.271218587	0.9645868465	377.6800699301	1196.3374125874	0.0050068647	0.9827103092	11.8376329885	63.9354352179	779.3920952248	755.7641690447	1208.3493897308	389.8241768892	0.9988584367	-29.5230768162	18.3165157671	9.3054412462	0									0	1				7.06
