exp_ic	age	spatial.std	spatial.avg	spatial.min	spatial.max	spatial.n.domains	mass.perc	region.majmin.ratio	region.extent	region.orient	mass.total	region.majaxis	threshold.area	region.centroid.0	region.centroid.1	region.minaxis	mass.region	region.eccentricity	threshold.perc	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	temporal.autocorr	temporal.min	temporal.max	temporal.std	temporal.n.freq	freq.rangesz	freq.maxsnr	freq.maxsnr.freq	freq.range.low	freq.range.high	freq.integrate	freq.avgsnr	length	artifact	signal	noise	hemodynamic	movement	res
190329_02-03_600components-0025	21	0.000751866	-8.19129926541195E-10	-0.0049576261	0.0079021806	15	0.0402224807	2.333655951	0.2254819277	-0.8922849713	877.1525116015	191.1220971546	7486	598.7185412771	581.8821800695	81.8981465862	35.28125	0.9035360044	0.8649335644	679.4748311821	737.1849590864	595.3224232361	583.6360765761	0.9955692611	-17.2039021361	7.3127230009	3.3800912891	1	0.5145145654	1.8182897509	2.5	0.1104854346	0.625	0.3912089914	1.5601806888	21	0	1				6.6
190329_02-03_600components-0026	21	0.0007518653	-6.49028406733163E-10	-0.0434637506	0.0511186381	0														717.3068019153	672.812023705	740.2113988508	243.30653144	0.8331931007	-13.7198396423	31.2600269382	3.3782588611	1	0.0101778401	9.618114761	1.6210494433	0.0048828125	0.0150606526	0.5759705471	3.346337416	14	1	0			1	6.6
190329_02-03_600components-0027	21	0.0007518667	-1.40338581963659E-09	-0.0290807109	0.0399248864	0														726.3130890322	736.5142339391	923.8156398686	287.1312167637	0.904681621	-17.0665452082	21.0541646404	3.3639773661	1	0.0089278668	8.0548930902	1.767766953	0.0048828125	0.0138106793	0.9826858229	3.450959443	13	1	0			1	6.6
190329_02-03_600components-0028	21	0.0007518657	1.72454296458451E-09	-0.0057615409	0.0058884683	7	0.0007805379	2.775757031	0.4489164087	0.7054972119	917.7114336432	24.0505335372	145	652.5310344828	1121.4965517241	8.6644952237	0.7163085938	0.9328511318	0.4119318182	694.3273613397	815.6484745388	635.617518668	1069.331928419	0.9955768237	-15.0702009189	6.4161173561	3.326492638	1	0.2283453417	1.0423273197	2.1022410381	0.1432818818	0.3716272234	0.0136130291	1.0300844249	12	0	1				6.6
190329_02-03_600components-0029	21	0.0007518653	8.0101024089109E-11	-0.0038662363	0.009251249	37	0.1370692247	1.8626501687	0.6747773736	-0.1395884103	729.5583689168	235.1268995863	21520	357.6978159851	66.2334107807	126.2324528417	100	0.843665323	0.9778706775	616.7119631465	617.7432007561	350.4355387203	68.9833004527	0.9846869415	-20.2361003719	7.7758218429	3.3135002883	1	0.0026475138	2.1490900369	3.8555270635	0.0048828125	0.0075303263	0.4651410981	1.7273872551	6	0	1				6.6
190329_02-03_600components-0030	21	0.0007518657	-3.83660273146702E-10	-0.0038850008	0.0090042811	35	0.0843714096	1.041112429	0.3244225172	-0.7708960454	801.5155885166	183.969635715	15716	469.9061466022	1442.917727157	176.7048693207	67.625	0.278241817	0.9929866684	638.8298467508	948.2146775906	470.8957393923	1444.1272959982	0.9903760678	-15.6574467087	7.4255418665	3.3041941348	1	0.2013678469	1.5071773706	2.1022410381	0.0851959166	0.2865637635	0.468806353	1.2805708775	15	0	1				6.6
190329_02-03_600components-0031	21	0.0007518665	1.34646146379665E-09	-0.0069632548	0.0239789615	1	0.0278526045	1.3542706414	0.6575438596	0.4840647509	821.287646261	57.938623641	1874	1270.7769477055	711.6195304162	42.7821602785	22.875	0.6743576857	1	735.0274560627	765.9205151744	1269.5047221461	711.7370392224	0.9931673606	-4.4293294363	19.3788513282	3.2186097126	0									1	0			1	6.6
190329_02-03_600components-0032	21	0.0007518653	-1.36300080658031E-09	-0.0046407413	0.0083697255	26	0.0768233057	1.1416698211	0.4565685571	0.1855018896	824.5381969429	158.3144451339	15264	649.2617924528	1367.1220518868	138.6692038327	63.34375	0.4824745505	0.872926913	697.5929558557	898.3596078088	656.8333284542	1358.4809571726	0.990450668	-12.5873618354	10.2881560893	3.0682569069	1	0.725328805	2.3761668642	1.4865088938	0.0851959166	0.8105247217	1.5920167893	1.7168495476	27	0	1				6.6
190329_02-03_600components-0033	21	0.0007518664	1.09412128477842E-09	-0.0041503344	0.0087258463	17	0.0308258612	1.6565025879	0.5876013658	0.0204588698	870.3122612602	115.3980348651	5507	471.3152351553	752.8156891229	69.6636610838	26.828125	0.7972255782	0.7531455142	638.8618860273	784.5366718558	459.5040319688	774.4287882361	0.9922445705	-7.9771690156	9.7750647136	3.0656307798	1	0.650347641	3.0318141428	1.767766953	0.0929068059	0.7432544469	1.4073254894	1.96818346	25	0	1				6.6
190329_02-03_600components-0034	21	0.0007518663	1.79800268154102E-09	-0.004964809	0.0089268682	12	0.0555514105	1.2519503585	0.3809786296	-1.3721745634	816.8109429033	144.7654212523	8985	841.3904284919	1346.7000556483	115.6319180422	45.375	0.6016581277	0.9941358708	742.0267129449	876.5776324796	842.7651184033	1345.1189726133	0.9905650756	-12.1479963683	9.6779856692	2.9932653236	1	0.8786858493	2.8875515995	1.25	0.0851959166	0.9638817659	2.0421453496	1.9416700773	29	0	1				6.6
