exp_ic	age	freq.avgsnr	freq.integrate	freq.maxsnr	freq.maxsnr.freq	freq.range.high	freq.range.low	freq.rangesz	length	mass.perc	mass.region	mass.total	region.centroid.0	region.centroid.1	region.eccentricity	region.extent	region.majaxis	region.majmin.ratio	region.minaxis	region.orient	signal	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	spatial.avg	spatial.max	spatial.min	spatial.n.domains	spatial.std	temporal.autocorr	temporal.max	temporal.min	temporal.n.freq	temporal.std	threshold.area	threshold.perc	anml	artifact	hemodynamic	movement
190506_07-08-0016	21	1.146357816	0.0060379858	1.2255145145	4.2044820763	4.585020216	3.2420988866	1.3429213294	5	0.0262398903	22.390625	853.3048253193	1432.5506756757	773.8361486486	0.9589552059	0.6350227943	108.1952465082	3.5266203289	30.6795845362	-0.0274176382	0	710.9467446872	763.9223527571	1426.5107639668	772.5792389015	8.5512894924949E-10	0.0191077353	-0.0057856803	3	0.0007516434	0.9851190855	24.5153507216	-9.0682221601	2	6.8092004951	2368	0.7226121453	5	1	1	
190506_07-08-0017	21	1.0399169115	0.0019845203	1.0680190467	4.585020216	3.8555270635	3.2420988866	0.6134281769	3	0.0384585739	29.765625	773.9659053773	962.2152525586	814.0835259161	0.9571887973	0.7713267125	117.1160835786	3.454656926	33.9009302771	-0.0219313193	0	687.0636309843	771.2803073381	960.6595565019	803.0087307211	3.56270950243508E-09	0.0186945153	-0.0055770335	3	0.0007516436	0.9739656389	44.8632904586	-8.9762227766	3	6.4559936088	3029	0.6966421343	5	1	1	
190506_07-08-0018	21	1.0461733725	0.0013478295	1.0517562466	5	3.5355339059	3.2420988866	0.2934350193	2	0.0349642357	26.8125	766.8550294133	683.5356498195	763.1150722022	0.9169017978	0.4898320071	86.4171293833	2.5055568066	34.4901896281	0.5852730546	0	665.5311803082	773.3882950625	686.8121779176	771.2890529769	3.65806748454664E-09	0.0215208374	-0.0076013665	2	0.0007516439	0.977357441	44.1075299322	-10.2841609484	2	6.2081082065	2216	0.8114243867	5	1	1	
190506_07-08-0019	21	1.0175636909	0.0020188289	1.0233893454	4.585020216	2.9730177875	2.292510108	0.6805076795	4	0.1155160296	89.9375	778.5716001574	651.6108324975	946.247330226	0.8915997825	0.6795910184	221.7986979386	2.2083621528	100.4358355178	0.2048161802	1	650.7324742681	799.2336327209	650.7975526825	945.1235524297	2.14266602585067E-09	0.008688585	-0.0039199178	2	0.0007516436	0.9632978131	18.3276830831	-18.343747685	2	6.1247138075	16949	0.9999410029	5	0		
190506_07-08-0020	21	1.0818336293	0.0088004591	1.1224161552	4.585020216	3.8555270635	2.9730177875	0.882509276	4	0.1010191016	79.4375	786.3611804819	1382.042724168	1019.8864260363	0.5351481927	0.6976081472	151.1585697754	1.1837706971	127.6924409014	-0.2521503578	1	777.0815482252	796.4470792472	1381.6927359562	1016.4685212566	5.23974425083323E-09	0.0093741765	-0.0037669317	7	0.0007516432	0.9572071138	33.6875344538	-29.6787763197	2	6.0516419756	14933	0.9939430245	5	0		
190506_07-08-0021	21	1.0148794643	0.000726822	1.0244477224	4.585020216	3.5355339059	2.9730177875	0.5625161184	3	0.0778813243	61.96875	795.6817701782	1387.9545021691	723.1745847	0.6378233532	0.6482167353	126.8698375845	1.2983932487	97.7129523043	-0.4800202279	1	748.1809789616	763.1413544116	1387.2256278036	723.0789205724	-1.20331443933782E-09	0.0123880901	-0.0045519213	4	0.0007516436	0.975528807	24.0566849602	-12.8766464965	2	5.8187593282	9451	0.9992598858	5	0		
190506_07-08-0022	21	1.0498036373	0.0029843459	1.0833792587	4.585020216	3.8555270635	2.9730177875	0.882509276	4	0.0036653634	3.181640625	868.0287037634	168.4061302682	766.0804597701	0.7771856704	0.4393939394	28.2801486685	1.5891395624	17.7958873708	-0.7060285134	0	617.5918176615	765.3731891053	171.0015133613	766.7235973701	-1.78991470584871E-10	0.0177075183	-0.011984677	2	0.0007516439	0.9767187715	28.0264287027	-8.5435263476	3	5.7838408367	261	0.8847457627	5	1	1	
190506_07-08-0023	21	1.0335379576	0.0008646857	1.0407965121	5	3.5355339059	3.2420988866	0.2934350193	2	0.0198617693	17.234375	867.7160008694	776.5156794425	781.1101045296	0.9965411431	0.8304398148	151.8825668586	12.0335723457	12.6215692643	0.0121845463	0	673.8651269211	767.2797262867	777.8778747843	781.2142257027	-1.80346165571077E-09	0.0197498814	-0.0093451482	1	0.0007516434	0.9800337492	34.287511288	-7.4993174919	2	5.4559217802	1435	1	5	1	1	
190506_07-08-0024	21	1.0922673289	0.0120411689	1.1533162799	4.2044820763	4.2044820763	2.9730177875	1.2314642888	5	0.030550519	25.390625	831.102902605	1490.1545288437	953.9146436962	0.8672734836	0.5633823529	100.1032772231	2.0087097479	49.8346151449	-0.8085358496	1	799.7849638244	778.1626370937	1489.4011009105	922.1602018878	1.26108818959211E-09	0.0097678278	-0.0054533903	5	0.0007516441	0.9574291126	26.0370413841	-14.6191999271	3	5.348368738	3831	0.8990847219	5	0		
190506_07-08-0025	21	1.1192714486	0.0519154327	1.1849669326	3.8555270635	2.9730177875	1.6210494433	1.3519683442	8	0.0958412932	74	772.1097824023	1017.782135425	326.1555946854	0.6718365939	0.6514077164	147.6552219965	1.35007536	109.36813334	0.8212473468	1	719.3076504536	716.1810348387	1017.8722888985	326.2138456411	1.3070175617952E-09	0.0100442493	-0.004049063	3	0.0007516436	0.9452868851	19.8357883502	-16.7938895215	3	5.2561921677	12494	0.9998399488	5	0		
190506_07-08-0026	21	1.0385014776	0.0114337044	1.0617650056	3.8555270635	0.7432544469	0.5255602595	0.2176941873	5	0.0237309272	19.875	837.5146853052	856.2599142551	817.0075026795	0.9905586544	0.7496986742	132.8484989641	7.2945005715	18.2121445686	0.0091059508	0	675.107221291	768.6987085397	859.1963655441	813.2891924746	1.01844503212532E-08	0.0162661078	-0.0140155148	3	0.0007516433	0.9819779199	34.41312245	-7.9936179458	3	5.2375124293	1866	0.8911174785	5	1	1	
190506_07-08-0027	21	1.9930301167	0.3073154088	3.2439024733	3.8555270635	0.0063322244	0.0048828125	0.0014494119	4	0.1164715144	81.1875	697.0588507626	574.9305600257	40.9980688767	0.988575787	0.4093813822	332.7278736875	6.6346158342	50.1502848097	0.2040897254	1	644.3082345802	664.5906566582	577.8619681843	39.4787521598	-1.26280549030204E-09	0.0131380065	-0.0057782175	4	0.0007516437	0.9833564741	16.3547972891	-19.3613317966	2	5.2358967361	12428	0.9994370728	5	0		
190506_07-08-0028	21	1.2889968198	0.3640163224	1.4482952434	1.9277635318	1.6210494433	0.3125	1.3085494433	20	0.1458045528	74.8125	513.1012615444	923.8643884892	169.2547961631	0.9773187732	0.3036039316	226.3538221891	4.7220261089	47.9357413465	0.5206073469	1	703.485891777	665.9435550716	926.9017284296	166.9239641911	-2.51174509443894E-09	0.0197933395	-0.0040300155	1	0.0007516434	0.9797725953	21.292669835	-17.3326774421	2	5.2074399818	8340	1	5	0		
190506_07-08-0029	21	1.1552760815	0.0811631321	1.2585206014	4.2044820763	0.0253288976	0.0179102352	0.0074186623	5	0.0862670805	70.1875	813.6069930745	687.7510421491	170.5578199784	0.8377664156	0.693989071	176.1905045501	1.8314052835	96.2050869538	-0.0337949554	1	663.6156031587	698.2814768987	689.3739037257	170.2104298671	2.36402739981495E-09	0.0090272808	-0.0042414703	9	0.0007516436	0.9722426178	20.8448410706	-17.1854642418	2	5.2072990858	12954	0.9963082603	5	0		
