exp_ic	age	spatial.std	spatial.avg	spatial.min	spatial.max	spatial.n.domains	region.orient	threshold.area	mass.total	mass.region	region.majmin.ratio	region.extent	threshold.perc	region.centroid.1	region.centroid.0	mass.perc	region.eccentricity	region.minaxis	region.majaxis	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	temporal.autocorr	temporal.min	temporal.max	temporal.std	temporal.n.freq	freq.range.high	freq.maxsnr.freq	length	freq.avgsnr	freq.integrate	freq.range.low	freq.maxsnr	freq.rangesz	artifact	signal	noise	hemodynamic	movement	res
191112_01-02_600components-0000	22	0.000787182	-4.31977428054881E-09	-0.0046507321	0.0126078267	2	0.9881428441	11385	645.720128964	79.1875	1.4617708397	0.6274801587	0.9999121728	1249.9209486166	71.0565656566	0.1226343991	0.7293865819	102.1861754779	149.3727715292	562.9881665912	857.8348004259	68.1515489874	1251.8289245581	0.9296908243	-76.506825944	9.5113886481	7.7789807084	1	0.0232267015	1.0511205191	19	4.6182739938	1.6855411767	0.0048828125	14.7716760144	0.018343889	0	1				6.75
191112_01-02_600components-0001	22	0.0007871823	0.000000006	-0.0058047515	0.0097427825	7	0.6762289986	12406	725.2511566866	75.0625	1.3658872893	0.6467521635	0.9980691874	1112.6404159278	58.9650975335	0.1034986285	0.6811704873	111.1069512228	151.7595724313	573.8440834082	828.5129099108	58.2874663793	1112.3051310359	0.9213962965	-88.2686915197	8.6490386409	7.733699671	1	0.0253288976	0.9638817659	20	5.4965183783	2.065201466	0.0048828125	16.7538099033	0.0204460851	0	1				6.75
191112_01-02_600components-0002	22	0.0007871821	4.6788562022707E-09	-0.0052035193	0.0080147295	22	0.4724520843	11434	777.1603555034	53.46875	1.3943246137	0.5736504114	0.9945203096	1334.472450586	243.5521252405	0.0688001512	0.696874486	107.1229845872	149.3642141025	578.236403896	895.5448714428	243.1383097653	1333.4117563508	0.9122104322	-101.733511431	9.3518367198	7.6878617446	2	2.9730177875	4.585020216	3	1.0326755401	0.005864831	2.5	1.041733427	0.4730177875	0	1				6.75
191112_01-02_600components-0003	22	0.0007871799	1.90985576792101E-09	-0.0117686231	0.0127352244	0														634.2752183318	747.6841620455	387.548716247	609.4682111023	0.999655724	-13.4343834739	9.2232043349	7.0162352326	0									1	0			1	6.75
191112_01-02_600components-0004	22	0.000787181	-2.12203763887239E-09	-0.0063657598	0.0104545807	8	0.2619283557	15653	657.553989721	92.625	4.0702816081	0.5288175676	0.9989151244	1499.4344854022	334.6594901936	0.1408629579	0.969350165	70.4762631667	286.8582377752	600.9481873441	916.5867406473	330.7030270549	1500.9752153988	0.9554123521	-67.103723282	9.8893717943	7.002155962	2	2.9730177875	4.585020216	3	1.0121404228	0.0011027994	2.5	1.0180453729	0.4730177875	0	1				6.75
191112_01-02_600components-0005	22	0.0007871834	-8.66359512058131E-10	-0.0073475966	0.0119948373	4	0.5116757849	6633	759.2073819473	48.59375	2.3033928736	0.4451677852	0.9990962494	1391.0217096337	156.8840645259	0.0640058977	0.9008443644	65.0462303412	149.8270234225	612.3230508296	848.1011714763	157.0371866866	1393.1010091817	0.9526876116	-51.6250510006	10.8964567916	6.9760467384	1	0.0116133507	2.1022410381	11	3.8610967668	1.0792851719	0.0048828125	8.5091020013	0.0067305382	0	1				6.75
191112_01-02_600components-0006	22	0.0007871816	1.85408888657999E-09	-0.0041555795	0.02700374	3	0.0158577318	5027	569.3485350848	49.1875	7.1625701682	0.7050490884	0.7196850394	750.2592003183	396.940123334	0.0863925996	0.9902059073	31.1336517649	222.996965357	630.4473825714	769.1166750431	398.6532876012	758.3630786377	0.9706009112	-9.9909618137	48.5663724105	6.556053802	2	2.9730177875	3.2420988866	9	1.0862270554	0.022962679	1.4865088938	1.1411811411	1.4865088938	1	0		1		6.75
191112_01-02_600components-0007	22	0.000787182	-4.64463113392209E-09	-0.0056363364	0.012632206	5	-1.205479045	3264	813.1194487027	19.9375	1.7288276275	0.2375372971	0.976076555	1118.6412377451	681.3440563725	0.0245197677	0.8157343885	72.7015401264	125.6884311326	673.2399841861	834.5284760218	682.5731586457	1116.0838203751	0.9983071785	-18.3282976778	11.8261921965	6.1480577975	1	0.573127527	2.7262693317	20	1.5364820532	0.1403987568	0.1104854346	1.9322192657	0.4626420924	0	1				6.75
191112_01-02_600components-0008	22	0.000787183	5.58667561219226E-10	-0.0070615793	0.0154053821	6	1.2943320733	2097	744.9673652796	17.78125	6.4444097997	0.2576167076	0.7695412844	930.0572246066	860.9556509299	0.0238684952	0.9878872725	24.3741215056	157.0768274894	708.0348073919	789.1111287259	831.4235477534	847.595149605	0.9853816988	-12.7721506868	21.7797037248	5.5655883117	2	3.5355339059	4.585020216	4	1.0329998858	0.0010850534	2.7262693317	1.0517541506	0.8092645743	1	0		1		6.75
191112_01-02_600components-0009	22	0.0007871816	1.25079579711413E-09	-0.0047713248	0.0109655186	10	0.9524768551	2366	833.2738461456	12.453125	1.9817335298	0.2156005103	0.6221404155	561.3199492815	655.5921386306	0.0149448168	0.8633481626	62.1513611209	123.1674362541	672.0272539782	734.8826530359	645.72949018	542.994557038	0.996454187	-14.7576259997	14.0918468355	5.5500079427	0									0	1				6.75
