exp_ic	age	spatial.std	spatial.avg	spatial.min	spatial.max	spatial.n.domains	threshold.area	region.majmin.ratio	region.centroid.1	region.centroid.0	threshold.perc	region.extent	region.majaxis	mass.region	mass.total	region.eccentricity	mass.perc	region.minaxis	region.orient	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	temporal.autocorr	temporal.min	temporal.max	temporal.std	temporal.n.freq	length	freq.maxsnr.freq	freq.range.high	freq.rangesz	freq.integrate	freq.maxsnr	freq.avgsnr	freq.range.low	artifact	signal	noise	hemodynamic	movement	res
190625_03-04_600components-0000	21	0.0007516515	0.000000003	-0.0050541116	0.0057452433	37	3867	1.3489078878	1245.8900956814	480.595810706	0.8685983827	0.4503843466	91.3045405116	16.171875	891.5618121626	0.671129135	0.0181388153	67.6877504672	-0.3592572173	644.2933231049	875.2182933366	482.9437662192	1247.7074135456	0.9988104893	-21.6719023028	35.657755815	12.7989947705	1	8	3.8555270635	0.8838834765	0.4019425935	0.0008981595	1.0664513838	1.0368651918	0.4819408829	0	1				6.79
190625_03-04_600components-0001	21	0.0007516508	-0.000000001	-0.0047165895	0.0061872122	32	6696	1.0814257711	1024.9169653525	607.8567801673	0.9755244755	0.4307771487	112.1370195797	28.03125	916.8355133433	0.3806840568	0.0305739139	103.6936816022	1.3513991847	668.4830490726	826.6279776125	609.6524854097	1023.8347927291	0.9991068866	-19.930131443	34.1431836712	11.9958226812	1	6	3.8555270635	0.9638817659	0.3388817659	0.0006365097	1.0853309235	1.051597327	0.625	0	1				6.79
190625_03-04_600components-0002	21	0.0007516512	0.000000001	-0.0045211106	0.0051352517	0														596.7603042633	816.8284212464	261.0395337235	933.6678947724	0.9985671539	-20.7929428671	54.9753756129	11.6825135882	1	17	2.1022410381	2.7262693317	2.0447019987	0.004654282	1.1772638557	1.1226892554	0.6815673329	0	1				6.79
190625_03-04_600components-0003	21	0.0007516503	-2.10985882037865E-09	-0.0043870228	0.0071683048	25	8590	2.0813393259	733.277532014	454.661233993	0.5012253472	0.2827983539	219.9522340797	34.21875	878.0499384057	0.8770167179	0.0389713028	105.6782194715	-0.0782487902	639.2169352475	794.4948846883	458.2764799708	782.2762358661	0.997930703	-19.4104189977	53.425399829	11.4778070751	1	17	2.9730177875	1.146255054	0.8596912905	0.0216498146	1.2785737166	1.1718239144	0.2865637635	0	1				6.79
190625_03-04_600components-0004	21	0.0007516506	8.50494732818645E-10	-0.0042120584	0.0066556158	16	12367	1.4824278102	572.8337511118	606.5947279049	0.9902314036	0.5845622991	158.8797236212	50.09375	893.2049533025	0.7382117065	0.0560831529	107.1753528418	-0.3760429593	670.2178923117	755.0451024043	604.8646610181	570.8199205856	0.9981819862	-19.3143583916	29.0947777772	10.8954990058	0									0	1				6.79
190625_03-04_600components-0005	21	0.00075165	2.10215008309144E-09	-0.0033197118	0.0076978179	21	29657	2.1732946331	141.0391475874	378.1337964056	0.9981488961	0.6252398119	292.3263523057	119.5	774.0130334422	0.8878510919	0.1543901651	134.5083854947	-0.294294022	618.9945776369	641.3439086268	382.060137043	136.9514833527	0.9994815509	-44.6838297004	17.4489985451	10.8079460231	1	25	1.146255054	1.146255054	1.0029731723	0.0313516209	1.7527230377	1.3924153676	0.1432818818	0	1				6.79
190625_03-04_600components-0006	21	0.0007516505	5.08154883932454E-10	-0.0041097579	0.0080815792	30	4340	2.3967788891	887.9329493088	1453.432718894	0.6280752533	0.2065879665	193.7457320273	18.921875	827.8031317057	0.9088024713	0.0228579408	80.8358805682	-0.004205751	875.300590394	803.9410931251	1438.6600531859	861.6341442691	0.9982499377	-58.4153602519	17.6303965001	10.1556335312	1	20	1.146255054	0.9638817659	0.7780681542	0.0222590171	1.215510684	1.1113974874	0.1858136117	0	1				6.79
190625_03-04_600components-0007	21	0.0007516503	2.69365415880712E-10	-0.0040904485	0.0091714471	20	20815	1.3543433254	1487.4269997598	352.8751861638	0.9955043283	0.598063441	200.7930457935	89.5	803.9578326282	0.674401075	0.1113242466	148.258600329	0.035970946	615.9107565117	923.8687160724	353.2442168443	1487.5967959017	0.9979677514	-43.7887792161	13.8985379566	9.0815546462	1	1	5	5	0	2.71629253559664E-05	1.0366656657	1.0366656657	5	0	1				6.79
190625_03-04_600components-0008	21	0.0007516521	8.18651606173646E-10	-0.0040585198	0.0049453124	0														654.4091777942	788.284283645	492.4444664435	594.1960673421	0.9986889389	-14.1975958168	23.411451988	8.3864347148	0									0	1				6.79
190625_03-04_600components-0009	21	0.00075165	8.65325381167561E-11	-0.0062360357	0.0124806881	5	3047	11.4734153606	778.634722678	612.5090252708	0.5487124077	0.7939030745	216.1406700143	25.234375	764.3123972975	0.9961945001	0.0330157866	18.8383897227	-0.0069057743	674.3806881783	795.7684718701	609.8087270472	789.1688093794	0.9979816014	-7.5703219055	40.0472487649	7.7811511129	1	7	3.5355339059	2.5	1.0134911062	0.0021474084	1.242839456	1.1470661096	1.4865088938	1	0		1		6.79
190625_03-04_600components-0010	21	0.0007516514	-1.98102291961557E-10	-0.0048251012	0.0100669331	51	2212	10.5452888209	1058.4136528029	383.3765822785	0.2992829116	0.2045874954	223.9595754823	11.609375	924.0136299137	0.9954935692	0.0125640733	21.2378797097	0.1404984407	625.6533203024	807.4903706072	377.5237371614	900.9898408749	0.9988231088	-12.1960992076	24.1960288058	7.0295355034	1	25	1.25	0.9638817659	0.8433965451	0.2577969388	3.165221345	2.1777945639	0.1204852207	1	0		1		6.79
190625_03-04_600components-0011	21	0.0007516504	-1.81584277764844E-09	-0.0038353755	0.0091074654	35	12042	2.3411056088	401.3511044677	169.3729446936	0.9730909091	0.362078297	225.8735351294	47.84375	885.6176946978	0.904181435	0.0540230285	96.4815659242	-1.2335819185	582.3803561868	710.4343803021	171.1418112179	402.9773679401	0.9976959843	-28.4380827094	11.3421383569	6.9014066909	1	21	2.9730177875	1.3631346658	1.1221642244	0.112595533	2.0951302698	1.6383982809	0.2409704415	0	1				6.79
190625_03-04_600components-0012	21	0.0007516498	5.01252294160922E-10	-0.0042690801	0.0134651535	7	6278	3.7738948297	819.7069130296	1025.0261229691	0.6461506793	0.49046875	183.9833253098	45.46875	721.7713433615	0.9642543926	0.0629960588	48.7515772462	0.1768891603	759.9361527522	797.5987719515	1012.4188497807	805.6688031573	0.9908148646	-11.2108492453	48.2082252694	6.8636961982	0									1	0		1		6.79
190625_03-04_600components-0013	21	0.0007516501	-2.08215603900235E-09	-0.005495434	0.0057742933	0														592.7089122301	863.1054326925	248.1947955828	1157.8377589756	0.9966797406	-14.3629076829	39.21195766	6.8553539024	1	13	3.5355339059	1.0511205191	0.6794932956	0.0137919076	1.155982547	1.1098403699	0.3716272234	0	1				6.79
190625_03-04_600components-0014	21	0.0007516505	1.19867351976556E-10	-0.0037571043	0.0159651613	13	7181	3.0466438636	838.2949449937	127.0050132294	0.483243607	0.4067403002	178.1862511251	52.28125	662.3175511479	0.9445978239	0.0789368331	58.4860781577	-0.5856477009	591.9499837038	793.7441119728	142.0660950436	803.1222407086	0.976479176	-7.2239913843	79.8652095093	6.7684033929	3	7	3.8555270635	2.7262693317	1.1052198883	0.0130171773	1.1199209637	1.0940787275	1.6210494433	1	0		1		6.79
190625_03-04_600components-0015	21	0.0007516492	-5.57375006908512E-10	-0.0054836888	0.0193623675	2	3253	10.7185750412	778.3061789118	807.7866584691	0.5025490499	0.7672169811	216.6831272854	30.203125	646.8096370207	0.995638418	0.0466955396	20.2156654642	-0.0054850365	706.7179228143	794.5374253904	800.2780750292	790.9621411491	0.9985345805	-8.0207290196	38.6853890602	6.4202016117	2	4	4.585020216	1.767766953	0.4046322871	0.0002207812	1.0510557732	1.0319186029	1.3631346658	1	0		1		6.79
190625_03-04_600components-0016	21	0.000751651	-1.16723265013551E-09	-0.0055640974	0.0051201772	0														739.011540578	808.2843551957	982.8844100505	1032.6591789904	0.9973490684	-12.9595570622	13.5538458573	6.3779118667	1	4	4.585020216	2.5	0.5722364682	0.0002398179	1.042224519	1.0265849493	1.9277635318	0	1				6.79
190625_03-04_600components-0017	21	0.000751651	1.43198424523408E-09	-0.0050446653	0.0055765725	8	63	2.9462358296	1103.4920634921	735.7142857143	0.6923076923	0.3461538462	18.4737905039	0.287109375	910.9048685887	0.9406363177	0.0003151914	6.2703027091	-0.87883072	705.9457358122	847.1152203189	734.8353609283	1107.5806434654	0.9957449733	-15.0112969933	15.9885414556	6.3614352973	0									0	1				6.79
190625_03-04_600components-0018	21	0.0007516519	-1.52341610021955E-09	-0.0055302541	0.0102641197	7	3917	3.9483312263	1455.2757212152	153.0043400562	0.9484261501	0.2663538692	155.7233681717	24.875	912.961482739	0.9673952233	0.0272464945	39.4403000267	0.705367931	644.6233400388	845.7474666451	149.8393066342	1450.4191674819	0.9958364184	-19.9301802109	9.9040207961	5.5217978318	1	6	3.8555270635	2.7262693317	0.9585023787	0.0032528837	1.2409628752	1.1610906298	1.767766953	0	1				6.79
190625_03-04_600components-0019	21	0.0007516515	-4.55458471350794E-09	-0.0038670592	0.0058664211	56	4552	3.3501681948	1305.6944200352	916.0417398946	0.7848275862	0.2727708533	160.837324793	16.859375	922.9553312407	0.9544119874	0.0182667291	48.0087313361	-0.6630148587	762.8574581634	851.8779967456	911.4379830109	1292.4637137673	0.9889978864	-30.9084123613	10.8223590837	5.2651217044	1	14	3.2420988866	1.3631346658	0.9211929276	0.0642314911	1.3197172374	1.1892373974	0.4419417382	0	1				6.79
190625_03-04_600components-0020	21	0.0007516491	-1.39856555563704E-09	-0.0042725488	0.0140752578	1	11655	2.0971511177	174.7648219648	905.0873444873	1	0.5163476874	181.8399718975	92.25	486.0367842161	0.8789915433	0.1898004493	86.7080919287	0.5054668625	742.1512155807	666.006931497	907.9221741197	173.8588146333	0.9865803744	-14.9471145157	26.3531107845	5.16054183	1	18	1.9277635318	1.9277635318	1.4858217935	0.3736498633	2.0519361076	1.5866559888	0.4419417382	0	1				6.79
190625_03-04_600components-0021	21	0.000751651	1.12884951437742E-09	-0.0041278844	0.0125354611	15	6415	1.2707347749	1139.8837100546	634.1869056898	0.648176215	0.1095382829	260.1389042111	37.3125	853.350154088	0.617021521	0.043724724	204.7153421346	0.3493578801	674.2008758855	800.7803375631	650.6642003462	913.4439262062	0.9980252641	-10.4649953617	18.8939993746	5.1056162002	1	26	1.25	0.9638817659	0.8533963313	0.4144867179	3.1489917074	2.0812184972	0.1104854346	1	0		1		6.79
190625_03-04_600components-0022	21	0.0007516512	2.29932734009484E-09	-0.004242862	0.00579881	39	3244	1.2161153546	483.3566584464	253.5955610358	0.5712273288	0.4493074792	83.4544236182	12.203125	936.6608928924	0.569068074	0.0130283276	68.6237726568	0.1562919446	609.2401667622	744.3472150433	288.2659173378	462.0184821165	0.9944523172	-10.3184868013	19.6297581653	5.036909644	1	17	2.7262693317	1.4865088938	1.1148816703	0.0602809922	1.4749289621	1.2492360872	0.3716272234	0	1				6.79
190625_03-04_600components-0023	21	0.0007516506	7.92340741429178E-10	-0.004116251	0.0081333566	68	9838	1.7337099714	1143.6841837772	102.8618621671	0.713881431	0.5667050691	164.3000406329	36.3125	909.6317703937	0.8168869951	0.0399199997	94.7678927511	-1.5400291992	567.4934708565	845.6031068882	105.4194634235	1115.4312826513	0.9955260076	-15.7866344613	13.5398392223	4.8649346617	1	14	2.9730177875	1.4865088938	1.0045680108	0.042053846	1.4223617243	1.2845568747	0.4819408829	0	1				6.79
190625_03-04_600components-0024	21	0.0007516503	-0.000000001	-0.0059062182	0.0093111125	6	3694	5.3658545082	772.6296697347	289.3345966432	0.8937817566	0.6295160191	170.7124905348	24.25	866.7037013823	0.9824808426	0.0279795736	31.8145954709	0.0760163357	639.1477355287	790.3195556504	291.8961267401	776.1597881834	0.9870207503	-5.2727654426	42.9629272073	4.6392285677	2	7	3.5355339059	2.7262693317	1.1052198883	0.0135277274	1.2361166049	1.1560169623	1.6210494433	1	0		1		6.79
190625_03-04_600components-0025	21	0.0007516513	2.25462556124893E-09	-0.0051787381	0.0082707812	12	4376	3.0475263793	1416.0281078611	500.6254570384	0.966004415	0.1696979098	215.6313453587	21.546875	934.8765270927	0.9446308467	0.0230478297	70.7561866635	0.0894414844	660.0387902272	837.3531715395	501.3248198412	1384.6278797231	0.9954099376	-19.3063341487	10.4793634727	4.6286121453	1	23	1.0511205191	0.9638817659	0.8205998841	0.1588321998	1.472715232	1.2496738766	0.1432818818	0	1				6.79
190625_03-04_600components-0026	21	0.0007516497	-6.53475872992096E-11	-0.0053383954	0.0164587223	2	3516	4.9170333414	839.1262798635	1308.9158134244	0.8211116301	0.2719047251	219.670690052	28.1875	833.9283622798	0.9791009888	0.033800865	44.6754526151	-0.2138915611	731.1725630602	797.5626543346	1304.8145669932	821.9382334116	0.9965034399	-8.8890687522	24.1476054537	4.5805458638	1	13	3.5355339059	0.2409704415	0.1557745249	0.0897003083	1.2336962103	1.1629424882	0.0851959166	1	0			1	6.79
190625_03-04_600components-0027	21	0.0007516499	-1.10516940625005E-09	-0.0059304913	0.0116183385	5	3654	9.0713370917	934.9731800766	1056.2950191571	0.4991803279	0.4615384615	225.4293511129	23.828125	844.4495995606	0.9939052926	0.0282173442	24.8507302545	1.4813083359	723.2277435133	789.5525202733	945.0011312772	799.3612269667	0.994924552	-24.9082367208	12.2302212164	4.5562768872	1	9	2.9730177875	1.3631346658	0.6815673329	0.0048509869	1.0807689736	1.0534546471	0.6815673329	1	0		1		6.79
190625_03-04_600components-0028	21	0.000751651	-1.41075419372393E-09	-0.0039086119	0.010286681	26	5282	1.2260442306	442.2226429383	747.9045815979	0.9768818199	0.2212819439	139.3557164762	23.1875	913.4569788125	0.5785720772	0.0253843372	113.6628785515	-0.4741098332	712.0223838443	736.8234550355	749.0249689905	443.6995820444	0.9914689987	-16.1655802953	13.5504353562	4.4912182378	0									0	1				6.79
190625_03-04_600components-0029	21	0.0007516502	1.91067398209633E-09	-0.0049684499	0.0062990992	17	1091	3.0932160148	695.9404216315	901.9926672777	0.6612121212	0.3588815789	89.0820034463	4.7734375	936.7200232671	0.9463005809	0.0050959063	28.7991537033	1.3781604311	724.5858031923	790.0608215153	858.4990368579	728.769187035	0.9925728676	-11.6579746654	15.1103767054	4.4488917997	1	11	3.2420988866	1.4865088938	0.8615088938	0.0222976817	1.2244551365	1.1362476614	0.625	0	1				6.79
190625_03-04_600components-0030	21	0.0007516513	-1.12580540230289E-09	-0.0063609091	0.0115609802	14	399	1.865297579	641.7644110276	77.9448621554	0.4134715026	0.35625	38.6087734175	2.783203125	909.8165412455	0.8441497266	0.0030590817	20.6984525428	1.1663964444	636.294967383	774.343598668	70.0693258943	610.8468654103	0.9914729969	-11.0641470929	33.7593399193	4.3600793622	1	8	3.8555270635	2.7262693317	1.2397604379	0.0072819332	1.1853098417	1.1134319741	1.4865088938	1	0			1	6.79
190625_03-04_600components-0031	21	0.0007516517	-5.27876849882908E-10	-0.0085342111	0.0089380537	0														646.2112496599	754.3377763157	44.9882995828	1039.2257963895	0.9937549594	-9.934444624	19.8791006706	4.2872548866	1	6	3.8555270635	2.9730177875	1.0452542557	0.0028068044	1.1359490328	1.0975654463	1.9277635318	0	1				6.79
190625_03-04_600components-0032	21	0.0007516516	-3.36128588682452E-10	-0.0060397127	0.0084209353	4	108	4.3538290805	1220.2407407407	1165.287037037	0.6279069767	0.3025210084	25.4035370052	0.6645507813	961.2377431654	0.9732655213	0.000691349	5.8347575284	-0.831222907	748.898072135	820.0325083522	1272.2736212587	1164.0917703312	0.996278926	-22.387863823	8.6985573327	4.27679391	0									0	1				6.79
190625_03-04_600components-0033	21	0.0007516509	0.000000003	-0.0072097675	0.0126762349	8	1253	4.8890722737	884.7478052674	69.4333599362	0.7945466075	0.3242753623	94.5898376996	9.3359375	934.0907035566	0.9788586699	0.0099946798	19.3471956241	-1.1871516071	660.3411866522	804.3834341742	69.0607827973	915.4148989358	0.9955200761	-5.5445406869	35.5682744785	4.1994635066	0									1	0			1	6.79
190625_03-04_600components-0034	21	0.0007516507	2.22878915042562E-09	-0.0050056918	0.0059374625	2	34	3.6231796773	461.7941176471	1028.6470588235	0.53125	0.7083333333	13.0477051309	0.1555175781	902.3128269192	0.9611574444	0.0001723544	3.6011752916	0.0015840834	788.7645113352	775.0172788955	1034.0352303463	459.9156819918	0.9876312187	-22.3906958109	14.6145031966	4.1769563775	2	24	2.5	2.1022410381	1.8156772746	0.1896817215	1.4084274348	1.2234505758	0.2865637635	0	1				6.79
190625_03-04_600components-0035	21	0.0007516506	-1.74482256590902E-09	-0.0035907686	0.0153851398	5	10268	2.0005916681	294.2616867939	481.0690494741	0.9840904735	0.1491054833	299.9830322763	57.6875	820.8136138005	0.8661107616	0.0702808762	149.9471566639	-0.9253666481	649.3262829765	711.1142624545	480.3421806635	294.6454142868	0.9938341004	-8.7842999014	12.7103299676	4.0209899803	1	25	1.146255054	1.0511205191	0.9197304542	0.9292028388	2.8749428889	1.8186433834	0.1313900649	0	1				6.79
190625_03-04_600components-0036	21	0.0007516522	-1.74786909238232E-09	-0.003951539	0.0130647527	22	2362	8.4142315364	1269.0711261643	604.2861981372	0.7038140644	0.2286101432	256.7832627486	15.8671875	956.3421909726	0.9929126674	0.0165915377	30.5177319683	0.0040081387	687.6710552776	819.9625886296	607.9049633974	1177.6740716118	0.9968562665	-7.0765264359	14.702389151	3.9751988038	1	21	1.3631346658	0.8105247217	0.6672428399	0.1365583325	1.6575745247	1.330932563	0.1432818818	0	1				6.79
190625_03-04_600components-0037	21	0.0007516509	-6.1475482879125E-11	-0.0042480803	0.0066584121	5	185	9.8433921692	999.7081081081	1140.2378378378	0.6630824373	0.2811550152	52.4638872018	0.8491210938	975.1297724613	0.9948262511	0.0008707775	5.3298584776	-0.2181866264	755.645167599	788.4885861954	1146.9595471995	848.7028607424	0.9947823541	-23.254017642	9.6116817495	3.9132627409	1	20	2.9730177875	1.4865088938	1.1999451303	0.0634411264	1.4164378371	1.2162030594	0.2865637635	0	1				6.79
190625_03-04_600components-0038	21	0.0007516505	-4.71387577920213E-10	-0.0049397479	0.0139635584	2	7214	6.0323964009	1521.9143332409	672.051705018	0.9998613999	0.3328719085	250.8202537124	56.21875	739.8942484084	0.9861641734	0.0759821422	41.5788746367	-0.2909365692	694.928146612	878.2656007608	676.3302039927	1521.5263127371	0.9909918241	-21.639841266	9.2952615731	3.5727554503	1	12	3.5355339059	1.6210494433	0.9960494433	0.04302744	1.3340291695	1.2272567467	0.625	0	1				6.79
190625_03-04_600components-0039	21	0.0007516507	3.71323429898049E-11	-0.0036040309	0.007216481	31	12866	1.4306787485	287.3458728432	640.6475205969	0.981762686	0.442039442	168.3061117067	49.625	905.5710387363	0.7151520321	0.0547996765	117.6407435156	0.5770390015	685.1463501161	706.2639331073	639.5811600919	286.9846024939	0.9884658484	-7.7255104969	13.1967959887	3.4853483375	1	18	2.7262693317	1.3631346658	1.0506346658	0.1395475639	1.4341245858	1.2427288476	0.3125	0	1				6.79
190625_03-04_600components-0040	21	0.0007516509	3.05170312632073E-10	-0.0040921247	0.0144798738	2	10538	3.869255084	257.6063769216	1029.4702979693	0.9999051143	0.318137906	238.1129390211	81.625	585.6332584123	0.9660252567	0.1393790377	61.5397366815	0.6937223824	750.3659333979	713.0606612208	1031.8054023569	255.5617408383	0.9677210356	-16.0788854069	19.2672459127	3.3541050732	2	16	2.9730177875	2.1022410381	1.5291135111	0.3306436901	1.4831689731	1.3202297847	0.573127527	0	1				6.79
190625_03-04_600components-0041	21	0.0007516516	-2.38641284760538E-09	-0.0066731488	0.0117316268	2	2705	5.8862376873	323.0081330869	49.6706099815	0.9908424908	0.3161524077	146.3702755102	19.25	942.9223084797	0.9854634107	0.0204152557	24.8665248138	-1.0992945978	661.5357558804	779.0686011438	50.3587492961	340.5312549838	0.9929750013	-7.4123269553	17.22296061	3.3422023	0									0	1				6.79
190625_03-04_600components-0042	21	0.0007516514	-3.32618039473882E-09	-0.0083199428	0.0225878327	1	10	1.2649110641	634	1202.2	1	0.8333333333	3.9191835885	0.1139526367	983.3843635116	0.6123724357	0.000115878	3.098386677	0	699.3096342481	799.6231806968	1197.5621967361	639.168500839	0.9976430858	-7.0102589349	5.373268104	3.2948279892	1	1	5	5	0	1.44323102904691E-05	1.016628546	1.016628546	5	1	0			1	6.79
190625_03-04_600components-0043	21	0.0007516514	0.000000003	-0.0075733451	0.0077453214	0														692.2100191152	822.9576191417	882.1087049201	1162.4573235786	0.9951799458	-6.0397746796	15.6292918728	3.2760504608	1	1	5	5	0	8.68050907146382E-06	1.0048528808	1.0048528808	5	1	0			1	6.79
190625_03-04_600components-0044	21	0.0007516501	-1.47890980117591E-09	-0.0046258943	0.0110461536	12	11240	5.3052267383	43.2038256228	582.6886120996	0.9959241538	0.4929824561	286.7883905911	71.125	757.2047520101	0.9820744647	0.0939310006	54.0577066242	0.1925552383	676.6363530844	698.5623548489	585.9018022692	42.7240241149	0.9896841664	-18.5554139145	13.5363811326	3.2378943602	0									0	1				6.79
190625_03-04_600components-0045	21	0.0007516488	1.94057587199584E-09	-0.0242192522	0.0242967386	0														709.4978359995	816.8635627206	660.024690257	1336.1283743458	0.9908645641	-22.8205411085	25.6120131981	3.2295729636	0									1	0			1	6.79
190625_03-04_600components-0046	21	0.0007516503	1.14767572091925E-10	-0.0040475425	0.0130848577	4	9894	4.8575193432	1456.7372144734	830.3215079846	0.9996968778	0.359847245	253.8631449106	69.8125	712.9921606688	0.9785801076	0.0979148213	52.2618906837	-0.4243184195	716.2231962061	876.9704781786	832.5747738219	1458.4805392515	0.9835579771	-19.8480635477	11.752593617	3.2031403802	1	16	2.292510108	1.6210494433	1.1791077051	0.4894645917	2.2613864754	1.7190869988	0.4419417382	0	1				6.79
190625_03-04_600components-0047	21	0.0007516509	1.56430439381398E-09	-0.0050862843	0.01230076	5	11075	3.3227801103	121.8629345372	781.6177878104	0.9907854715	0.423745026	224.3190292296	75.125	696.8304875981	0.9536390345	0.1078095768	67.5094414275	0.5399581398	711.7751448698	691.8569651589	780.6211241122	132.00498323	0.9847500811	-7.233919266	26.8009896063	3.2010269682	2	14	3.2420988866	1.767766953	1.194639426	0.0861445098	1.2905123084	1.2055656511	0.573127527	0	1				6.79
190625_03-04_600components-0048	21	0.0007516504	-2.05186456724577E-09	-0.0032208931	0.0062979033	24	21864	1.2450965496	1328.0830131723	649.4561379437	0.9977183536	0.6501144777	188.7398311106	84.375	878.8818500309	0.5957761043	0.0960026652	151.5865024097	-0.3069445938	686.0688237646	884.6980530983	650.0684715849	1328.6519893418	0.978324795	-14.6033471173	12.1881767494	3.1908717013	1	15	2.9730177875	1.25	0.8783727766	0.1297020072	1.2510278236	1.158324065	0.3716272234	0	1				6.79
190625_03-04_600components-0049	21	0.0007516507	-2.11424708118438E-09	-0.0126536021	0.0143502567	0														712.819869115	795.7211134917	1210.9950607502	623.8151637352	0.9974785241	-21.435863404	4.9395881679	3.189919291	0									1	0		1		6.79
190625_03-04_600components-0050	21	0.0007516509	1.44877188794714E-09	-0.0071232273	0.0130857697	2	902	17.0146717909	1355.3869179601	205.5842572062	0.9730312837	0.3296783626	165.1790372607	7.78125	930.4052544256	0.9982713846	0.0083632911	9.7080354703	0.0691450931	659.1023481089	824.3575395843	215.4009418974	1353.6692558576	0.9933391766	-12.9265615832	7.8264265662	3.1755340776	0									1	0		1		6.79
190625_03-04_600components-0051	21	0.0007516505	3.32973376679338E-09	-0.0137145165	0.0142004602	2	70	5.4031493759	648.0571428571	328.7428571429	0.625	0.3977272727	24.2875307141	0.84375	930.0974091127	0.9827239762	0.000907163	4.4950692687	1.3431252081	681.5790547031	793.5453342578	331.4478247869	648.7005753056	0.9941259129	-5.7603984287	14.8968277405	3.1532577191	0									1	0		1		6.79
190625_03-04_600components-0052	21	0.0007516489	6.039966057254E-10	-0.0212468989	0.0248714549	0														795.9572827246	795.5197427041	1313.5429594407	925.8380210298	0.9816696526	-9.5161442759	42.846724633	3.0691609387	1	6	4.2044820763	2.9730177875	1.0452542557	0.0150841952	1.2787434715	1.1752555284	1.9277635318	1	0			1	6.79
190625_03-04_600components-0053	21	0.0007516489	1.08352438307896E-09	-0.0031830367	0.0205891433	6	13672	4.6100282182	1348.9124488005	993.0349619661	0.9945442642	0.2970882225	288.7701397785	88.9375	585.1943828578	0.976189737	0.1519794151	62.6395601303	-0.7000993147	759.4911916128	885.9135020038	997.7265132791	1341.7681183883	0.9500293435	-8.5599644674	17.3620926513	2.9918395512	2	16	2.9730177875	2.292510108	1.667510108	0.4779141437	1.4866145038	1.3267367804	0.625	0	1				6.79
190625_03-04_600components-0054	21	0.0007516515	7.85307468630068E-10	-0.0057271114	0.0119170844	4	314	3.2759844975	466.1847133758	1086.576433121	0.4505021521	0.2110215054	59.4564022082	2.267578125	932.0868113465	0.9522716888	0.0024327971	18.1491708078	-1.1301636572	755.0095986069	772.9668063224	1078.9860400132	441.3501209382	0.9909061422	-18.6520222414	7.0630796122	2.9728003574	1	25	2.7262693317	1.4865088938	1.300695282	0.6047467085	1.7968516404	1.5758527296	0.1858136117	0	1				6.79
190625_03-04_600components-0055	21	0.0007516518	-0.000000005	-0.0092020068	0.0102805157	0														668.4970726066	827.3986631429	745.5985921096	1271.1539707634	0.9889651671	-3.6103508372	19.1766107697	2.9581170166	2	1	5	5	0.414979784	0.0001168962	1.0175150326	1.0133002125	4.585020216	1	0			1	6.79
190625_03-04_600components-0056	21	0.0007516495	3.51557546141114E-09	-0.008311125	0.0118348791	4	704	2.9584821286	814.546875	1164.2883522727	0.9142857143	0.6641509434	53.5642386652	6.578125	898.1295732066	0.9411420989	0.0073242494	18.1053108778	0.0821625272	717.4737294234	796.6421191862	1163.8424273445	806.4726128637	0.9908773465	-6.8147456271	14.2991387174	2.8189708285	1	2	4.585020216	2.7262693317	0.2262693317	0.0003159097	1.0333376406	1.0295410295	2.5	1	0		1		6.79
190625_03-04_600components-0057	21	0.0007516512	0.000000001	-0.0058444694	0.0115994968	33	3938	7.7341439131	1164.499746064	863.4743524632	0.6088435374	0.0817351598	337.2023173492	24.328125	875.9341303396	0.9916059396	0.0277739206	43.5991780263	-1.0912157688	727.7547215729	800.8076086072	873.9569365991	929.6843937956	0.989568591	-8.1724550324	8.740008282	2.7490572395	1	25	1.25	1.25	1.09375	1.3086345649	2.5034879035	1.7986366728	0.15625	1	0		1		6.79
190625_03-04_600components-0058	21	0.0007516503	8.90426404275825E-10	-0.0045212925	0.0252508071	4	3757	3.3661742177	881.0790524355	645.6750066542	0.9506578947	0.4561680427	128.4024071934	42.9375	640.1236749439	0.9548547218	0.0670768817	38.1449084007	-1.0139700734	696.7088836887	802.1178527873	654.1380474634	880.4056292025	0.9959988888	-4.1398631593	13.4747315729	2.5709001325	0									1	0		1		6.79
190625_03-04_600components-0059	21	0.0007516511	3.15951608772693E-09	-0.0042940413	0.0114245329	12	1544	3.767564807	637.704015544	261.682642487	0.5520200215	0.1229495143	165.5474198152	9.109375	944.3083803195	0.9641319407	0.0096466104	43.9401651451	1.0115797859	618.5145583782	776.3995423119	284.3394678961	645.7998447812	0.981123954	-5.934913844	18.4780890167	2.5279911354	1	21	1.3631346658	1.146255054	0.9436238736	0.2225328423	1.2102870085	1.1360261644	0.2026311804	0	1				6.79
190625_03-04_600components-0060	21	0.0007516511	1.4377300379007E-09	-0.0038284906	0.0068731038	33	11595	1.3952333134	258.7269512721	791.9164294955	0.9378791555	0.4821606786	163.0892611039	45.96875	902.3757520803	0.6973548827	0.0509419163	116.8903147135	0.5347794067	729.288936705	723.4710565787	794.3896264584	263.6795043659	0.9703025315	-13.0837609251	14.4014195635	2.4354983241	1	23	1.4865088938	1.6210494433	1.3800790018	1.1106366192	1.6557071537	1.4742554085	0.2409704415	0	1				6.79
