exp_ic	age	spatial.std	spatial.avg	spatial.min	spatial.max	spatial.n.domains	threshold.area	region.majmin.ratio	region.centroid.1	region.centroid.0	threshold.perc	region.extent	region.majaxis	mass.region	mass.total	region.eccentricity	mass.perc	region.minaxis	region.orient	spatial.COMall.x	spatial.COMall.y	spatial.COMdom.x	spatial.COMdom.y	temporal.autocorr	temporal.min	temporal.max	temporal.std	temporal.n.freq	length	freq.maxsnr.freq	freq.range.high	freq.rangesz	freq.integrate	freq.maxsnr	freq.avgsnr	freq.range.low	artifact	signal	noise	hemodynamic	movement	res
190625_03-04_600components-0530	21	0.0007516538	1.77279179730101E-09	-0.0051925937	0.005130926	0														692.3858811945	792.3181333607	794.1268946164	923.1970328979	0.1271346999	-7.8274618276	7.1855142648	0.5768600004	5	3	4.585020216	0.7432544469	0.1182544469	0.0109957659	1.063093947	1.0489990026	0.625	0	0	1			6.79
190625_03-04_600components-0531	21	0.0007516538	-4.01586516854047E-10	-0.0053808844	0.00490247	0														691.3467079815	792.419604496	1111.3247718155	885.8521891877	0.0857518139	-7.3834056002	7.6254757813	0.576853294	3	6	4.2044820763	2.1022410381	0.7391063723	0.1240943317	1.1817061766	1.125736169	1.3631346658	0	0	1			6.79
190625_03-04_600components-0532	21	0.0007516536	2.0747590691365E-09	-0.0055945869	0.0058723354	0														691.5654988656	792.1578149168	1041.3714021904	699.176329358	0.0900309095	-8.9581931497	5.8849801231	0.5768002791	5	5	3.8555270635	4.585020216	1.3429213294	0.0731452004	1.085646991	1.0468709699	3.2420988866	0	0	1			6.79
190625_03-04_600components-0533	21	0.0007516536	-8.09880272535609E-10	-0.0048248188	0.0061042123	0														691.9075519976	792.4026868849	718.9569297841	787.468224232	-0.0015806247	-7.7675626647	8.9018827005	0.5766118571	1	10	3.5355339059	0.0106494896	0.0057666771	0.0056775656	1.8272574553	1.3634626353	0.0048828125	0	0	1			6.79
190625_03-04_600components-0534	21	0.0007516535	-1.77426699398898E-09	-0.0053414809	0.0059455823	0														692.8543365292	792.1114614858	1073.9023401873	784.9675994531	0.0180577937	-7.1146586851	7.6402475117	0.5765215282	2	17	2.1022410381	0.0212989792	0.0159742344	0.0215582098	2.2063093058	1.6253262496	0.0053247448	0	0	1			6.79
190625_03-04_600components-0535	21	0.0007516532	-3.48147926331732E-09	-0.0052865231	0.0056539024	0														691.5922948977	792.4700128802	1093.2415844803	974.87518033	0.0319537438	-7.6341487236	7.1634121111	0.5763981641	2	1	4.585020216	5	0.7955179237	0.0284317787	1.0372173036	1.0235281457	4.2044820763	0	0	1			6.79
190625_03-04_600components-0536	21	0.0007516535	-5.60629987596272E-09	-0.0049008869	0.005188791	0														691.8972940658	792.9158086854	575.4146583146	1039.4325736565	0.0637271965	-7.4435021488	8.049973741	0.5762435017	6	7	3.5355339059	0.1013155902	0.0410729798	0.0167894934	1.4172070069	1.2560501976	0.0602426104	0	0	1			6.79
190625_03-04_600components-0537	21	0.0007516536	3.53437226618483E-09	-0.0056451267	0.0047523975	0														692.1338283704	792.5998232086	1006.1122823289	899.1999358317	0.0030015321	-7.0831497506	8.1241778337	0.5761109823	2	2	4.585020216	3.8555270635	0.3199931576	0.0166431992	1.0279209838	1.0261486006	3.5355339059	0	0	1			6.79
190625_03-04_600components-0538	21	0.0007516527	-1.11339229092383E-10	-0.0047755985	0.0053626154	0														691.8208581914	792.2270591949	1046.3203376839	1088.0386900555	0.0445074285	-7.6725408872	7.5958248549	0.5760597735	3	19	1.4865088938	0.0464534029	0.0366877779	0.0374170956	2.3099874856	1.6177975714	0.009765625	0	0	1			6.79
190625_03-04_600components-0539	21	0.0007516534	2.37007748389108E-09	-0.0055559604	0.0056344589	0														691.7048514026	792.095404506	1248.3648185435	947.0835981588	0.0263722356	-7.0493497809	7.4282378853	0.5760258199	4	0	5	5	0.414979784	0.0169847545	1.0290035076	1.0203184283	4.585020216	0	0	1			6.79
